Title,Domestic,Worldwide,URL
Eddington,,,https://www.boxofficemojo.com/release/rl1111392257/?ref_=bo_yld_table_66
The Day the Earth Blew Up: A Looney Tunes Movie,,,https://www.boxofficemojo.com/release/rl305627137/?ref_=bo_yld_table_67
Gladiator II,,,https://www.boxofficemojo.com/release/rl1778156289/?ref_=bo_yld_table_68
Clown in a Cornfield,,,https://www.boxofficemojo.com/release/rl605847553/?ref_=bo_yld_table_69
Presence,,,https://www.boxofficemojo.com/release/rl4127621121/?ref_=bo_yld_table_70
Princess Mononoke,,,https://www.boxofficemojo.com/release/rl339312641/?ref_=bo_yld_table_71
Homestead,,,https://www.boxofficemojo.com/release/rl2557247489/?ref_=bo_yld_table_72
The Life of Chuck,,,https://www.boxofficemojo.com/release/rl4207640577/?ref_=bo_yld_table_73
The Last Supper,,,https://www.boxofficemojo.com/release/rl2523137/?ref_=bo_yld_table_74
The Unbreakable Boy,,,https://www.boxofficemojo.com/release/rl520323841/?ref_=bo_yld_table_75
Anora,,,https://www.boxofficemojo.com/release/rl779911169/?ref_=bo_yld_table_76
I'm Still Here,,,https://www.boxofficemojo.com/release/rl505839617/?ref_=bo_yld_table_77
Pride & Prejudice,,,https://www.boxofficemojo.com/release/rl2050457601/?ref_=bo_yld_table_78
The Alto Knights,,,https://www.boxofficemojo.com/release/rl713917185/?ref_=bo_yld_table_79
Dan Da Dan: Evil Eye,,,https://www.boxofficemojo.com/release/rl2168094721/?ref_=bo_yld_table_80
Hurry Up Tomorrow,,,https://www.boxofficemojo.com/release/rl1327726593/?ref_=bo_yld_table_81
The Last Showgirl,,,https://www.boxofficemojo.com/release/rl3491856385/?ref_=bo_yld_table_82
Brave the Dark,,,https://www.boxofficemojo.com/release/rl1730707457/?ref_=bo_yld_table_83
The Friend,,,https://www.boxofficemojo.com/release/rl1731756033/?ref_=bo_yld_table_84
Shadow Force,,,https://www.boxofficemojo.com/release/rl1160806401/?ref_=bo_yld_table_85
Colorful Stage! The Movie: A Miku Who Can't Sing,,,https://www.boxofficemojo.com/release/rl2200862721/?ref_=bo_yld_table_86
Chhaava,,,https://www.boxofficemojo.com/release/rl1664188417/?ref_=bo_yld_table_87
Fight or Flight,,,https://www.boxofficemojo.com/release/rl1680572417/?ref_=bo_yld_table_88
The Penguin Lessons,,,https://www.boxofficemojo.com/release/rl3191570433/?ref_=bo_yld_table_89
