Title,Domestic,International,Worldwide,ImdbID,URL
Shrek 2,"$441,550,292","$45,984,231","$487,534,523",tt0298148,https://www.boxofficemojo.com/release/rl24217089/?ref_=bo_yld_table_1
Spider-Man 2,"$373,585,825","$36,594,691","$410,180,516",tt0316654,https://www.boxofficemojo.com/release/rl896763393/?ref_=bo_yld_table_2
The Passion of the Christ,"$370,274,604","$239,219,221","$609,493,825",tt0335345,https://www.boxofficemojo.com/release/rl3781789185/?ref_=bo_yld_table_3
Harry Potter and the Prisoner of Azkaban,"$249,541,069","$546,093,000","$795,634,069",tt0304141,https://www.boxofficemojo.com/release/rl1449887233/?ref_=bo_yld_table_4
The Incredibles,"$261,441,092","$108,559,908","$370,001,000",tt0317705,https://www.boxofficemojo.com/release/rl2807793153/?ref_=bo_yld_table_5
The Day After Tomorrow,"$186,740,799","$365,898,772","$552,639,571",tt0319262,https://www.boxofficemojo.com/release/rl1716291073/?ref_=bo_yld_table_6
The Bourne Supremacy,"$176,241,941","$114,391,481","$290,633,422",tt0372183,https://www.boxofficemojo.com/release/rl2487649793/?ref_=bo_yld_table_7
Shark Tale,"$160,861,908","$52,860,063","$213,721,971",tt0307453,https://www.boxofficemojo.com/release/rl3933111809/?ref_=bo_yld_table_8
The Polar Express,"$162,775,358","$123,225,147","$286,000,505",tt0338348,https://www.boxofficemojo.com/release/rl292259329/?ref_=bo_yld_table_9
National Treasure,"$173,008,894","$1,494,530","$174,503,424",tt0368891,https://www.boxofficemojo.com/release/rl2321843713/?ref_=bo_yld_table_10
"I, Robot","$144,801,023","$63,531,852","$208,332,875",tt0343818,https://www.boxofficemojo.com/release/rl1616545281/?ref_=bo_yld_table_11
Troy,"$133,378,256","$364,031,596","$497,409,852",tt0332452,https://www.boxofficemojo.com/release/rl3698820609/?ref_=bo_yld_table_12
Meet the Fockers,"$279,261,160","$243,396,776","$522,657,936",tt0290002,https://www.boxofficemojo.com/release/rl862094849/?ref_=bo_yld_table_13
The Lord of the Rings: The Return of the King,"$377,027,325","$741,859,899","$1,118,887,224",tt0167260,https://www.boxofficemojo.com/release/rl4251026945/?ref_=bo_yld_table_14
50 First Dates,"$120,908,074","$77,505,354","$198,413,428",tt0343660,https://www.boxofficemojo.com/release/rl3963717121/?ref_=bo_yld_table_15
Van Helsing,"$120,177,084","$59,803,470","$179,980,554",tt0338526,https://www.boxofficemojo.com/release/rl175736321/?ref_=bo_yld_table_16
Fahrenheit 9/11,"$119,194,771","$103,252,111","$222,446,882",tt0361596,https://www.boxofficemojo.com/release/rl2672854529/?ref_=bo_yld_table_17
Dodgeball: A True Underdog Story,"$114,326,736","$54,096,491","$168,423,227",tt0364725,https://www.boxofficemojo.com/release/rl3578758657/?ref_=bo_yld_table_18
The Village,"$114,197,520","$28,302,480","$142,500,000",tt0368447,https://www.boxofficemojo.com/release/rl1132037633/?ref_=bo_yld_table_19
The Grudge,"$110,359,362","$76,921,753","$187,281,115",tt0391198,https://www.boxofficemojo.com/release/rl2639758849/?ref_=bo_yld_table_20
Collateral,"$101,005,703","$18,228,519","$119,234,222",tt0369339,https://www.boxofficemojo.com/release/rl1078625793/?ref_=bo_yld_table_21
Ocean's Twelve,"$125,544,280","$237,200,000","$362,744,280",tt0349903,https://www.boxofficemojo.com/release/rl426149377/?ref_=bo_yld_table_22
The Princess Diaries 2: Royal Engagement,"$95,170,481","$39,564,000","$134,734,481",tt0368933,https://www.boxofficemojo.com/release/rl4285236737/?ref_=bo_yld_table_23
Starsky & Hutch,"$88,237,754","$82,030,996","$170,268,750",tt0335438,https://www.boxofficemojo.com/release/rl3161687553/?ref_=bo_yld_table_24
Along Came Polly,"$88,097,164","$2,117,401","$90,214,565",tt0343135,https://www.boxofficemojo.com/release/rl2084800001/?ref_=bo_yld_table_25
Mean Girls,"$86,058,055","$44,067,774","$130,125,829",tt0377092,https://www.boxofficemojo.com/release/rl3395520001/?ref_=bo_yld_table_26
Anchorman: The Legend of Ron Burgundy,"$85,288,303","$5,361,427","$90,649,730",tt0357413,https://www.boxofficemojo.com/release/rl3628303873/?ref_=bo_yld_table_27
A Series of Unfortunate Events,"$118,634,549","$92,833,686","$211,468,235",tt0339291,https://www.boxofficemojo.com/release/rl358516225/?ref_=bo_yld_table_28
Scooby-Doo 2: Monsters Unleashed,"$84,216,833","$12,783,167","$97,000,000",tt0331632,https://www.boxofficemojo.com/release/rl3647964673/?ref_=bo_yld_table_29
Cheaper by the Dozen,"$138,614,544","$51,597,569","$190,212,113",tt0349205,https://www.boxofficemojo.com/release/rl239830529/?ref_=bo_yld_table_30
The SpongeBob SquarePants Movie,"$85,417,988","$54,775,005","$140,192,993",tt0345950,https://www.boxofficemojo.com/release/rl175343105/?ref_=bo_yld_table_31
The Notebook,"$81,001,787","$37,085,800","$118,087,587",tt0332280,https://www.boxofficemojo.com/release/rl4201088513/?ref_=bo_yld_table_32
Alien vs. Predator,"$80,282,231","$16,862,628","$97,144,859",tt0370263,https://www.boxofficemojo.com/release/rl776308225/?ref_=bo_yld_table_33
Man on Fire,"$77,911,774","$52,923,078","$130,834,852",tt0328107,https://www.boxofficemojo.com/release/rl526616065/?ref_=bo_yld_table_34
The Terminal,"$77,872,883","$140,812,724","$218,685,607",tt0362227,https://www.boxofficemojo.com/release/rl3463808513/?ref_=bo_yld_table_35
Garfield: The Movie,"$75,369,589","$127,802,828","$203,172,417",tt0356634,https://www.boxofficemojo.com/release/rl3025503745/?ref_=bo_yld_table_36
Ladder 49,"$74,541,707","$26,030,337","$100,572,044",tt0349710,https://www.boxofficemojo.com/release/rl1046447617/?ref_=bo_yld_table_37
Christmas with the Kranks,"$73,780,539","$22,791,941","$96,572,480",tt0388419,https://www.boxofficemojo.com/release/rl2806744577/?ref_=bo_yld_table_38
Ray,"$75,331,600","$48,639,776","$123,971,376",tt0350258,https://www.boxofficemojo.com/release/rl695043585/?ref_=bo_yld_table_39
White Chicks,"$70,831,760","$42,254,715","$113,086,475",tt0381707,https://www.boxofficemojo.com/release/rl578520577/?ref_=bo_yld_table_40
Cold Mountain,"$95,636,509","$77,377,000","$173,013,509",tt0159365,https://www.boxofficemojo.com/release/rl1212843521/?ref_=bo_yld_table_41
Hidalgo,"$67,303,450","$40,737,172","$108,040,622",tt0317648,https://www.boxofficemojo.com/release/rl1633256961/?ref_=bo_yld_table_42
The Forgotten,"$67,133,509","$50,459,322","$117,592,831",tt0356618,https://www.boxofficemojo.com/release/rl1246922241/?ref_=bo_yld_table_43
Kill Bill: Vol. 2,"$66,208,183","$19,743,095","$85,951,278",tt0378194,https://www.boxofficemojo.com/release/rl2119992833/?ref_=bo_yld_table_44
The Manchurian Candidate,"$65,955,630","$30,150,280","$96,105,910",tt0368008,https://www.boxofficemojo.com/release/rl3412100609/?ref_=bo_yld_table_45
Barbershop 2: Back in Business,"$65,111,277","$880,171","$65,991,448",tt0337579,https://www.boxofficemojo.com/release/rl2269480449/?ref_=bo_yld_table_46
Miracle,"$64,378,093","$67,615","$64,445,708",tt0349825,https://www.boxofficemojo.com/release/rl4284646913/?ref_=bo_yld_table_47
Big Fish,"$66,809,693","$56,109,362","$122,919,055",tt0319061,https://www.boxofficemojo.com/release/rl289900033/?ref_=bo_yld_table_48
Friday Night Lights,"$61,255,921","$694,849","$61,950,770",tt0390022,https://www.boxofficemojo.com/release/rl1029015041/?ref_=bo_yld_table_49
Hellboy,"$59,623,958","$39,695,029","$99,318,987",tt0167190,https://www.boxofficemojo.com/release/rl827950593/?ref_=bo_yld_table_50
Something's Gotta Give,"$124,728,738","$15,871,262","$140,600,000",tt0337741,https://www.boxofficemojo.com/release/rl1299219969/?ref_=bo_yld_table_51
The Stepford Wives,"$59,484,742","$43,885,385","$103,370,127",tt0327162,https://www.boxofficemojo.com/release/rl3782444545/?ref_=bo_yld_table_52
Dawn of the Dead,"$59,020,957","$43,257,755","$102,278,712",tt0363547,https://www.boxofficemojo.com/release/rl1665959425/?ref_=bo_yld_table_53
