Title,Domestic,International,Worldwide,ImdbID,URL
Back to the Future,"$212,326,307","$11,488,299","$223,814,606",tt0088763,https://www.boxofficemojo.com/release/rl2974385665/?ref_=bo_yld_table_1
Beverly Hills Cop,"$234,760,478",$60,"$234,760,538",tt0086960,https://www.boxofficemojo.com/release/rl3880027649/?ref_=bo_yld_table_2
Rambo: First Blood Part II,"$150,415,432",$0,"$150,415,432",tt0089880,https://www.boxofficemojo.com/release/rl3697968641/?ref_=bo_yld_table_3
Rocky IV,"$127,873,716","$17,637","$127,891,353",tt0089927,https://www.boxofficemojo.com/release/rl3043788289/?ref_=bo_yld_table_4
Cocoon,"$76,113,124",$0,"$76,113,124",tt0088933,https://www.boxofficemojo.com/release/rl1615496705/?ref_=bo_yld_table_5
Witness,"$68,706,993",$0,"$68,706,993",tt0090329,https://www.boxofficemojo.com/release/rl4017849857/?ref_=bo_yld_table_6
The Goonies,"$61,389,680","$35,727","$61,425,407",tt0089218,https://www.boxofficemojo.com/release/rl3243542017/?ref_=bo_yld_table_7
Police Academy 2: Their First Assignment,"$55,600,000",$0,"$55,600,000",tt0089822,https://www.boxofficemojo.com/release/rl493585921/?ref_=bo_yld_table_8
Fletch,"$50,612,888",$0,"$50,612,888",tt0089155,https://www.boxofficemojo.com/release/rl978486785/?ref_=bo_yld_table_9
A View to a Kill,"$50,327,960",$198,"$50,328,158",tt0090264,https://www.boxofficemojo.com/release/rl1333364225/?ref_=bo_yld_table_10
National Lampoon's European Vacation,"$49,364,621",$0,"$49,364,621",tt0089670,https://www.boxofficemojo.com/release/rl709920257/?ref_=bo_yld_table_11
Mask,"$48,230,162",$0,"$48,230,162",tt0089560,https://www.boxofficemojo.com/release/rl2808317441/?ref_=bo_yld_table_12
The Breakfast Club,"$45,875,171","$3,894","$45,879,065",tt0088847,https://www.boxofficemojo.com/release/rl3326510593/?ref_=bo_yld_table_13
Pale Rider,"$41,410,568",$0,"$41,410,568",tt0089767,https://www.boxofficemojo.com/release/rl1147766273/?ref_=bo_yld_table_14
Pee-wee's Big Adventure,"$40,940,662","$1,286","$40,941,948",tt0089791,https://www.boxofficemojo.com/release/rl644384257/?ref_=bo_yld_table_15
Brewster's Millions,"$40,833,132",$0,"$40,833,132",tt0088850,https://www.boxofficemojo.com/release/rl575243777/?ref_=bo_yld_table_16
