title,imdb_id,year,imdb_url
The Ring,tt0018328,1927,https://www.imdb.com/title/tt0018328/
It,tt0018033,1927,https://www.imdb.com/title/tt0018033/
Underworld,tt0018526,1927,https://www.imdb.com/title/tt0018526/
The Cat and the Canary,tt0017739,1927,https://www.imdb.com/title/tt0017739/
Downhill,tt0017825,1927,https://www.imdb.com/title/tt0017825/
The King of Kings,tt0018054,1927,https://www.imdb.com/title/tt0018054/
West Point,tt0017534,1927,https://www.imdb.com/title/tt0017534/
The End of St. Petersburg,tt0018066,1927,https://www.imdb.com/title/tt0018066/
The Student Prince in Old Heidelberg,tt0018451,1927,https://www.imdb.com/title/tt0018451/
The Red Mill,tt0018311,1927,https://www.imdb.com/title/tt0018311/
London After Midnight,tt0018097,1927,https://www.imdb.com/title/tt0018097/
Bed and Sofa,tt0018505,1927,https://www.imdb.com/title/tt0018505/
Love,tt0018107,1927,https://www.imdb.com/title/tt0018107/
Two Arabian Knights,tt0018515,1927,https://www.imdb.com/title/tt0018515/
Metropolis,tt0017136,1927,https://www.imdb.com/title/tt0017136/
Sunrise,tt0018455,1927,https://www.imdb.com/title/tt0018455/
Wings,tt0018578,1927,https://www.imdb.com/title/tt0018578/
The Lodger: A Story of the London Fog,tt0017075,1927,https://www.imdb.com/title/tt0017075/
The Jazz Singer,tt0018037,1927,https://www.imdb.com/title/tt0018037/
The Unknown,tt0018528,1927,https://www.imdb.com/title/tt0018528/
Napoleon,tt0018192,1927,https://www.imdb.com/title/tt0018192/
College,tt0017765,1927,https://www.imdb.com/title/tt0017765/
The Kid Brother,tt0018051,1927,https://www.imdb.com/title/tt0018051/
Berlin: Symphony of Metropolis,tt0017668,1927,https://www.imdb.com/title/tt0017668/
7th Heaven,tt0018379,1927,https://www.imdb.com/title/tt0018379/
The Ring,tt0018328,1927,https://www.imdb.com/title/tt0018328/
It,tt0018033,1927,https://www.imdb.com/title/tt0018033/
Underworld,tt0018526,1927,https://www.imdb.com/title/tt0018526/
The Cat and the Canary,tt0017739,1927,https://www.imdb.com/title/tt0017739/
Downhill,tt0017825,1927,https://www.imdb.com/title/tt0017825/
The King of Kings,tt0018054,1927,https://www.imdb.com/title/tt0018054/
West Point,tt0017534,1927,https://www.imdb.com/title/tt0017534/
The End of St. Petersburg,tt0018066,1927,https://www.imdb.com/title/tt0018066/
The Student Prince in Old Heidelberg,tt0018451,1927,https://www.imdb.com/title/tt0018451/
The Red Mill,tt0018311,1927,https://www.imdb.com/title/tt0018311/
London After Midnight,tt0018097,1927,https://www.imdb.com/title/tt0018097/
Bed and Sofa,tt0018505,1927,https://www.imdb.com/title/tt0018505/
Love,tt0018107,1927,https://www.imdb.com/title/tt0018107/
Two Arabian Knights,tt0018515,1927,https://www.imdb.com/title/tt0018515/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
Show People,tt0019379,1928,https://www.imdb.com/title/tt0019379/
The Farmer's Wife,tt0018876,1928,https://www.imdb.com/title/tt0018876/
Easy Virtue,tt0017843,1928,https://www.imdb.com/title/tt0017843/
Sadie Thompson,tt0019344,1928,https://www.imdb.com/title/tt0019344/
Champagne,tt0018756,1928,https://www.imdb.com/title/tt0018756/
The Patsy,tt0019258,1928,https://www.imdb.com/title/tt0019258/
Lonesome,tt0019109,1928,https://www.imdb.com/title/tt0019109/
Street Angel,tt0019429,1928,https://www.imdb.com/title/tt0019429/
Storm Over Asia,tt0019286,1928,https://www.imdb.com/title/tt0019286/
"Laugh, Clown, Laugh",tt0019074,1928,https://www.imdb.com/title/tt0019074/
Our Dancing Daughters,tt0019237,1928,https://www.imdb.com/title/tt0019237/
West of Zanzibar,tt0019563,1928,https://www.imdb.com/title/tt0019563/
The Passion of Joan of Arc,tt0019254,1928,https://www.imdb.com/title/tt0019254/
The Circus,tt0018773,1928,https://www.imdb.com/title/tt0018773/
"Steamboat Bill, Jr.",tt0019421,1928,https://www.imdb.com/title/tt0019421/
The Cameraman,tt0018742,1928,https://www.imdb.com/title/tt0018742/
The Crowd,tt0018806,1928,https://www.imdb.com/title/tt0018806/
October (Ten Days that Shook the World),tt0018217,1928,https://www.imdb.com/title/tt0018217/
The Man Who Laughs,tt0019130,1928,https://www.imdb.com/title/tt0019130/
The Wind,tt0019585,1928,https://www.imdb.com/title/tt0019585/
The Docks of New York,tt0018839,1928,https://www.imdb.com/title/tt0018839/
The Last Command,tt0019071,1928,https://www.imdb.com/title/tt0019071/
The Fall of the House of Usher,tt0018770,1928,https://www.imdb.com/title/tt0018770/
Speedy,tt0019412,1928,https://www.imdb.com/title/tt0019412/
Spies,tt0019415,1928,https://www.imdb.com/title/tt0019415/
