Title,Domestic,International,Worldwide,ImdbID,URL
Spider-Man 3,"$336,530,303","$554,341,323","$890,871,626",tt0413300,https://www.boxofficemojo.com/release/rl913540609/?ref_=bo_yld_table_1
Shrek the Third,"$322,719,944","$485,586,147","$808,306,091",tt0413267,https://www.boxofficemojo.com/release/rl40994305/?ref_=bo_yld_table_2
Transformers,"$319,246,193","$71,217,394","$390,463,587",tt0418279,https://www.boxofficemojo.com/release/rl3010954753/?ref_=bo_yld_table_3
Pirates of the Caribbean: At World's End,"$309,420,425","$651,576,067","$960,996,492",tt0449088,https://www.boxofficemojo.com/release/rl4100490753/?ref_=bo_yld_table_4
Harry Potter and the Order of the Phoenix,"$292,004,738","$649,928,484","$941,933,222",tt0373889,https://www.boxofficemojo.com/release/rl1215006209/?ref_=bo_yld_table_5
The Bourne Ultimatum,"$227,471,070","$215,353,068","$442,824,138",tt0440963,https://www.boxofficemojo.com/release/rl2504427009/?ref_=bo_yld_table_6
300,"$210,614,939","$34,838,303","$245,453,242",tt0416449,https://www.boxofficemojo.com/release/rl3191965185/?ref_=bo_yld_table_7
Ratatouille,"$206,445,654","$417,280,431","$623,726,085",tt0382932,https://www.boxofficemojo.com/release/rl846038529/?ref_=bo_yld_table_8
I Am Legend,"$256,393,010","$72,624,032","$329,017,042",tt0480249,https://www.boxofficemojo.com/release/rl3394799105/?ref_=bo_yld_table_9
The Simpsons Movie,"$183,135,014","$353,279,256","$536,414,270",tt0462538,https://www.boxofficemojo.com/release/rl3195110913/?ref_=bo_yld_table_10
Wild Hogs,"$168,273,550","$85,351,877","$253,625,427",tt0486946,https://www.boxofficemojo.com/release/rl1098614273/?ref_=bo_yld_table_11
Knocked Up,"$148,768,917","$71,153,500","$219,922,417",tt0478311,https://www.boxofficemojo.com/release/rl4183590401/?ref_=bo_yld_table_12
Alvin and the Chipmunks,"$217,326,974","$148,025,572","$365,352,546",tt0952640,https://www.boxofficemojo.com/release/rl1799587329/?ref_=bo_yld_table_13
Rush Hour 3,"$140,125,968","$117,971,154","$258,097,122",tt0293564,https://www.boxofficemojo.com/release/rl560956929/?ref_=bo_yld_table_14
Night at the Museum,"$250,863,268","$72,754,305","$323,617,573",tt0477347,https://www.boxofficemojo.com/release/rl2103936513/?ref_=bo_yld_table_15
Live Free or Die Hard,"$134,529,403","$253,626,608","$388,156,011",tt0337978,https://www.boxofficemojo.com/release/rl3025110529/?ref_=bo_yld_table_16
National Treasure: Book of Secrets,"$219,964,115","$19,314,019","$239,278,134",tt0465234,https://www.boxofficemojo.com/release/rl2338620929/?ref_=bo_yld_table_17
Fantastic Four: Rise of the Silver Surfer,"$131,921,738","$38,069,655","$169,991,393",tt0486576,https://www.boxofficemojo.com/release/rl3679487489/?ref_=bo_yld_table_18
American Gangster,"$130,164,645","$9,426,140","$139,590,785",tt0765429,https://www.boxofficemojo.com/release/rl1195607553/?ref_=bo_yld_table_19
Bee Movie,"$126,631,277","$40,251,782","$166,883,059",tt0389790,https://www.boxofficemojo.com/release/rl1984202241/?ref_=bo_yld_table_20
Superbad,"$121,463,226","$49,349,300","$170,812,526",tt0829482,https://www.boxofficemojo.com/release/rl2272429569/?ref_=bo_yld_table_21
I Now Pronounce You Chuck & Larry,"$120,059,556","$67,074,561","$187,134,117",tt0762107,https://www.boxofficemojo.com/release/rl2303428097/?ref_=bo_yld_table_22
Hairspray,"$118,871,849","$84,681,073","$203,552,922",tt0427327,https://www.boxofficemojo.com/release/rl3428288001/?ref_=bo_yld_table_23
Blades of Glory,"$118,594,548","$27,115,799","$145,710,347",tt0445934,https://www.boxofficemojo.com/release/rl2202502657/?ref_=bo_yld_table_24
Ocean's Thirteen,"$117,154,724","$194,157,900","$311,312,624",tt0496806,https://www.boxofficemojo.com/release/rl442926593/?ref_=bo_yld_table_25
Ghost Rider,"$115,802,596","$112,935,797","$228,738,393",tt0259324,https://www.boxofficemojo.com/release/rl3579151873/?ref_=bo_yld_table_26
Enchanted,"$127,807,262","$212,680,390","$340,487,652",tt0461770,https://www.boxofficemojo.com/release/rl2521925121/?ref_=bo_yld_table_27
Evan Almighty,"$100,462,298","$73,978,426","$174,440,724",tt0413099,https://www.boxofficemojo.com/release/rl609256961/?ref_=bo_yld_table_28
Meet the Robinsons,"$97,822,171","$71,510,863","$169,333,034",tt0396555,https://www.boxofficemojo.com/release/rl711099905/?ref_=bo_yld_table_29
Norbit,"$95,673,607","$64,140,883","$159,814,490",tt0477051,https://www.boxofficemojo.com/release/rl2590475777/?ref_=bo_yld_table_30
The Game Plan,"$90,648,202","$57,232,341","$147,880,543",tt0492956,https://www.boxofficemojo.com/release/rl1247118849/?ref_=bo_yld_table_31
Bridge to Terabithia,"$82,272,442","$55,314,621","$137,587,063",tt0398808,https://www.boxofficemojo.com/release/rl390694401/?ref_=bo_yld_table_32
Beowulf,"$82,280,579","$31,832,587","$114,113,166",tt0442933,https://www.boxofficemojo.com/release/rl2789508609/?ref_=bo_yld_table_33
Disturbia,"$80,209,692","$37,904,528","$118,114,220",tt0486822,https://www.boxofficemojo.com/release/rl3947857409/?ref_=bo_yld_table_34
1408,"$71,985,628","$60,977,789","$132,963,417",tt0450385,https://www.boxofficemojo.com/release/rl373392897/?ref_=bo_yld_table_35
Fred Claus,"$72,006,777","$25,831,572","$97,838,349",tt0486583,https://www.boxofficemojo.com/release/rl4132603393/?ref_=bo_yld_table_36
Dreamgirls,"$103,365,956","$52,064,379","$155,430,335",tt0443489,https://www.boxofficemojo.com/release/rl3176039937/?ref_=bo_yld_table_37
The Pursuit of Happyness,"$163,566,459","$143,561,166","$307,127,625",tt0454921,https://www.boxofficemojo.com/release/rl1349158401/?ref_=bo_yld_table_38
Saw IV,"$63,300,095","$12,752,443","$76,052,538",tt0890870,https://www.boxofficemojo.com/release/rl2356119041/?ref_=bo_yld_table_39
Stomp the Yard,"$61,356,221","$14,154,902","$75,511,123",tt0775539,https://www.boxofficemojo.com/release/rl3866330625/?ref_=bo_yld_table_40
The Golden Compass,"$70,107,728","$302,127,136","$372,234,864",tt0385752,https://www.boxofficemojo.com/release/rl2572453377/?ref_=bo_yld_table_41
Surf's Up,"$58,867,694","$93,138,019","$152,005,713",tt0423294,https://www.boxofficemojo.com/release/rl3815933441/?ref_=bo_yld_table_42
Halloween,"$58,272,029","$22,188,919","$80,460,948",tt0373883,https://www.boxofficemojo.com/release/rl1012303361/?ref_=bo_yld_table_43
Why Did I Get Married?,"$55,204,525","$658,361","$55,862,886",tt0906108,https://www.boxofficemojo.com/release/rl1870366209/?ref_=bo_yld_table_44
TMNT,"$54,149,098","$41,648,714","$95,797,812",tt0453556,https://www.boxofficemojo.com/release/rl3564406273/?ref_=bo_yld_table_45
3:10 to Yuma,"$53,606,916","$16,409,304","$70,016,220",tt0381849,https://www.boxofficemojo.com/release/rl3057747457/?ref_=bo_yld_table_46
Resident Evil: Extinction,"$50,648,679","$97,069,154","$147,717,833",tt0432021,https://www.boxofficemojo.com/release/rl2406319617/?ref_=bo_yld_table_47
Music and Lyrics,"$50,572,589","$95,323,833","$145,896,422",tt0758766,https://www.boxofficemojo.com/release/rl795117057/?ref_=bo_yld_table_48
Are We Done Yet?,"$49,662,533","$8,725,535","$58,388,068",tt0422774,https://www.boxofficemojo.com/release/rl2791802369/?ref_=bo_yld_table_49
This Christmas,"$49,121,934","$656,618","$49,778,552",tt0937375,https://www.boxofficemojo.com/release/rl1349813761/?ref_=bo_yld_table_50
Premonition,"$47,852,604","$36,294,228","$84,146,832",tt0477071,https://www.boxofficemojo.com/release/rl2741732865/?ref_=bo_yld_table_51
The Kingdom,"$47,536,778","$39,482,380","$87,019,158",tt0431197,https://www.boxofficemojo.com/release/rl1214023169/?ref_=bo_yld_table_52
Shooter,"$47,003,582","$1,689,832","$48,693,414",tt0822854,https://www.boxofficemojo.com/release/rl896632321/?ref_=bo_yld_table_53
Dan in Real Life,"$47,642,963","$20,828,706","$68,471,669",tt0480242,https://www.boxofficemojo.com/release/rl558663169/?ref_=bo_yld_table_54
License to Wed,"$43,799,818","$26,381,507","$70,181,325",tt0762114,https://www.boxofficemojo.com/release/rl3160311297/?ref_=bo_yld_table_55
Underdog,"$43,760,605","$21,509,872","$65,270,477",tt0467110,https://www.boxofficemojo.com/release/rl2608236033/?ref_=bo_yld_table_56
