Title,Domestic,International,Worldwide,ImdbID,URL
Transformers: Revenge of the Fallen,"$402,111,870","$32,079,953","$434,191,823",tt1055369,https://www.boxofficemojo.com/release/rl3027731969/?ref_=bo_yld_table_1
Harry Potter and the Half-Blood Prince,"$301,959,197","$632,000,000","$933,959,197",tt0417741,https://www.boxofficemojo.com/release/rl1231783425/?ref_=bo_yld_table_2
Up,"$293,004,164","$442,094,918","$735,099,082",tt1049413,https://www.boxofficemojo.com/release/rl3245770241/?ref_=bo_yld_table_3
The Twilight Saga: New Moon,"$296,623,634","$116,580,194","$413,203,828",tt1259571,https://www.boxofficemojo.com/release/rl3479471617/?ref_=bo_yld_table_4
Avatar,"$749,766,139",$0,"$749,766,139",tt0499549,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_yld_table_5
The Hangover,"$277,322,503","$191,490,290","$468,812,793",tt1119646,https://www.boxofficemojo.com/release/rl643204609/?ref_=bo_yld_table_6
Star Trek,"$257,730,019","$127,950,427","$385,680,446",tt0796366,https://www.boxofficemojo.com/release/rl2876474881/?ref_=bo_yld_table_7
Monsters vs. Aliens,"$198,351,526","$183,158,344","$381,509,870",tt0892782,https://www.boxofficemojo.com/release/rl224757249/?ref_=bo_yld_table_8
Ice Age: Dawn of the Dinosaurs,"$196,573,705","$690,113,112","$886,686,817",tt1080016,https://www.boxofficemojo.com/release/rl3310913025/?ref_=bo_yld_table_9
The Blind Side,"$255,959,475","$53,248,834","$309,208,309",tt0878804,https://www.boxofficemojo.com/release/rl3796338177/?ref_=bo_yld_table_10
X-Men Origins: Wolverine,"$179,883,157","$13,296,550","$193,179,707",tt0458525,https://www.boxofficemojo.com/release/rl3262875137/?ref_=bo_yld_table_11
Night at the Museum: Battle of the Smithsonian,"$177,243,721","$58,618,728","$235,862,449",tt1078912,https://www.boxofficemojo.com/release/rl2070382081/?ref_=bo_yld_table_12
The Proposal,"$163,958,031","$153,417,000","$317,375,031",tt1041829,https://www.boxofficemojo.com/release/rl577406465/?ref_=bo_yld_table_13
2012,"$166,112,167","$603,567,306","$769,679,473",tt1190080,https://www.boxofficemojo.com/release/rl1833010689/?ref_=bo_yld_table_14
Fast & Furious,"$155,064,265","$50,235,735","$205,300,000",tt1013752,https://www.boxofficemojo.com/release/rl693339649/?ref_=bo_yld_table_15
G.I. Joe: The Rise of Cobra,"$150,201,498","$2,066,021","$152,267,519",tt1046173,https://www.boxofficemojo.com/release/rl1062503937/?ref_=bo_yld_table_16
Paul Blart: Mall Cop,"$146,336,178","$37,012,251","$183,348,429",tt1114740,https://www.boxofficemojo.com/release/rl4016080385/?ref_=bo_yld_table_17
Taken,"$145,000,989","$81,836,771","$226,837,760",tt0936501,https://www.boxofficemojo.com/release/rl1635091969/?ref_=bo_yld_table_18
Gran Torino,"$148,095,302","$121,862,926","$269,958,228",tt1205489,https://www.boxofficemojo.com/release/rl240616961/?ref_=bo_yld_table_19
A Christmas Carol,"$137,855,863","$49,574,920","$187,430,783",tt1067106,https://www.boxofficemojo.com/release/rl2605417985/?ref_=bo_yld_table_20
Angels & Demons,"$133,375,846","$352,554,970","$485,930,816",tt0808151,https://www.boxofficemojo.com/release/rl3443754497/?ref_=bo_yld_table_21
Terminator Salvation,"$125,322,469","$246,030,532","$371,353,001",tt0438488,https://www.boxofficemojo.com/release/rl3430254081/?ref_=bo_yld_table_22
Cloudy with a Chance of Meatballs,"$124,870,275","$118,135,851","$243,006,126",tt0844471,https://www.boxofficemojo.com/release/rl4883969/?ref_=bo_yld_table_23
Alvin and the Chipmunks: The Squeakquel,"$219,614,612","$3,910,781","$223,525,393",tt1231580,https://www.boxofficemojo.com/release/rl1816364545/?ref_=bo_yld_table_24
Inglourious Basterds,"$120,540,719","$200,914,970","$321,455,689",tt0361748,https://www.boxofficemojo.com/release/rl4217079297/?ref_=bo_yld_table_25
G-Force,"$119,436,770","$53,944,301","$173,381,071",tt0436339,https://www.boxofficemojo.com/release/rl4015359489/?ref_=bo_yld_table_26
Slumdog Millionaire,"$141,319,928","$237,090,185","$378,410,113",tt1010048,https://www.boxofficemojo.com/release/rl1047561729/?ref_=bo_yld_table_27
District 9,"$115,646,235","$95,242,715","$210,888,950",tt1136608,https://www.boxofficemojo.com/release/rl3914302977/?ref_=bo_yld_table_28
Couples Retreat,"$109,204,945","$62,639,895","$171,844,840",tt1078940,https://www.boxofficemojo.com/release/rl223184385/?ref_=bo_yld_table_29
Paranormal Activity,"$107,918,810","$85,436,990","$193,355,800",tt1179904,https://www.boxofficemojo.com/release/rl2355725825/?ref_=bo_yld_table_30
Watchmen,"$107,509,799","$77,873,014","$185,382,813",tt0409459,https://www.boxofficemojo.com/release/rl41453057/?ref_=bo_yld_table_31
Sherlock Holmes,"$209,028,679","$315,000,000","$524,028,679",tt0988045,https://www.boxofficemojo.com/release/rl3597567489/?ref_=bo_yld_table_32
Public Enemies,"$97,104,620","$19,895,380","$117,000,000",tt1152836,https://www.boxofficemojo.com/release/rl40535553/?ref_=bo_yld_table_33
Julie & Julia,"$94,125,426","$35,415,096","$129,540,522",tt1135503,https://www.boxofficemojo.com/release/rl2740815361/?ref_=bo_yld_table_34
He's Just Not That Into You,"$93,953,653","$84,912,505","$178,866,158",tt1001508,https://www.boxofficemojo.com/release/rl1784251905/?ref_=bo_yld_table_35
Madea Goes to Jail,"$90,508,336",$0,"$90,508,336",tt1142800,https://www.boxofficemojo.com/release/rl1113622017/?ref_=bo_yld_table_36
The Ugly Truth,"$88,915,214","$27,468,479","$116,383,693",tt1142988,https://www.boxofficemojo.com/release/rl1299613185/?ref_=bo_yld_table_37
Knowing,"$79,957,634","$23,743,230","$103,700,864",tt0448011,https://www.boxofficemojo.com/release/rl4267476481/?ref_=bo_yld_table_38
Hannah Montana: The Movie,"$79,576,189","$75,969,090","$155,545,279",tt1114677,https://www.boxofficemojo.com/release/rl492209665/?ref_=bo_yld_table_39
Where the Wild Things Are,"$77,233,467","$22,906,629","$100,140,096",tt0386117,https://www.boxofficemojo.com/release/rl964396545/?ref_=bo_yld_table_40
The Princess and the Frog,"$104,400,899","$162,644,866","$267,045,765",tt0780521,https://www.boxofficemojo.com/release/rl3916137985/?ref_=bo_yld_table_41
Zombieland,"$75,590,286","$26,801,794","$102,392,080",tt1156398,https://www.boxofficemojo.com/release/rl847087105/?ref_=bo_yld_table_42
