Title,Domestic,International,Worldwide,ImdbID,URL
The Avengers,"$623,357,910","$272,097,168","$895,455,078",tt0848228,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_yld_table_1
The Dark Knight Rises,"$448,139,099","$188,660,901","$636,800,000",tt1345836,https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_yld_table_2
The Hunger Games,"$408,010,692","$286,384,032","$694,394,724",tt1392170,https://www.boxofficemojo.com/release/rl4049110529/?ref_=bo_yld_table_3
Skyfall,"$304,360,277","$804,200,736","$1,108,561,013",tt1074638,https://www.boxofficemojo.com/release/rl1346799105/?ref_=bo_yld_table_4
The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737","$537,422,083","$829,746,820",tt1673434,https://www.boxofficemojo.com/release/rl3276178945/?ref_=bo_yld_table_5
The Amazing Spider-Man,"$262,030,663","$495,900,000","$757,930,663",tt0948470,https://www.boxofficemojo.com/release/rl930317825/?ref_=bo_yld_table_6
Brave,"$237,283,207","$64,416,793","$301,700,000",tt1217209,https://www.boxofficemojo.com/release/rl910460417/?ref_=bo_yld_table_7
The Hobbit: An Unexpected Journey,"$303,003,568","$714,000,000","$1,017,003,568",tt0903624,https://www.boxofficemojo.com/release/rl2321122817/?ref_=bo_yld_table_8
Ted,"$218,815,487","$330,552,828","$549,368,315",tt1637725,https://www.boxofficemojo.com/release/rl2255848961/?ref_=bo_yld_table_9
Madagascar 3: Europe's Most Wanted,"$216,391,482","$530,529,792","$746,921,274",tt1277953,https://www.boxofficemojo.com/release/rl1415611905/?ref_=bo_yld_table_10
The Lorax,"$214,151,550","$134,809,816","$348,961,366",tt1482459,https://www.boxofficemojo.com/release/rl2858518017/?ref_=bo_yld_table_11
Men in Black³,"$179,020,854","$475,192,631","$654,213,485",tt1409024,https://www.boxofficemojo.com/release/rl1298302465/?ref_=bo_yld_table_12
Wreck-It Ralph,"$189,422,889","$92,377,111","$281,800,000",tt1772341,https://www.boxofficemojo.com/release/rl242058753/?ref_=bo_yld_table_13
Ice Age: Continental Drift,"$161,321,843","$715,922,939","$877,244,782",tt1667889,https://www.boxofficemojo.com/release/rl3327690241/?ref_=bo_yld_table_14
Snow White and the Huntsman,"$155,332,381","$241,260,448","$396,592,829",tt1735898,https://www.boxofficemojo.com/release/rl2054194689/?ref_=bo_yld_table_15
Hotel Transylvania,"$148,313,048","$61,749,507","$210,062,555",tt0837562,https://www.boxofficemojo.com/release/rl5801473/?ref_=bo_yld_table_16
Taken 2,"$139,854,287","$236,287,019","$376,141,306",tt1397280,https://www.boxofficemojo.com/release/rl1651869185/?ref_=bo_yld_table_17
21 Jump Street,"$138,447,667","$63,137,661","$201,585,328",tt1232829,https://www.boxofficemojo.com/release/rl1564575233/?ref_=bo_yld_table_18
Lincoln,"$182,207,973","$93,085,477","$275,293,450",tt0443272,https://www.boxofficemojo.com/release/rl3814622721/?ref_=bo_yld_table_19
Prometheus,"$126,477,084","$276,877,385","$403,354,469",tt1446714,https://www.boxofficemojo.com/release/rl1063945729/?ref_=bo_yld_table_20
Safe House,"$126,373,434","$81,702,771","$208,076,205",tt1599348,https://www.boxofficemojo.com/release/rl107972097/?ref_=bo_yld_table_21
The Vow,"$125,014,030","$71,100,540","$196,114,570",tt1606389,https://www.boxofficemojo.com/release/rl2541323777/?ref_=bo_yld_table_22
Magic Mike,"$113,721,571","$53,500,000","$167,221,571",tt1915581,https://www.boxofficemojo.com/release/rl2657125889/?ref_=bo_yld_table_23
The Bourne Legacy,"$113,203,870","$49,737,010","$162,940,880",tt1194173,https://www.boxofficemojo.com/release/rl2521204225/?ref_=bo_yld_table_24
Argo,"$136,025,503","$96,300,000","$232,325,503",tt1024648,https://www.boxofficemojo.com/release/rl1178764801/?ref_=bo_yld_table_25
Journey 2: The Mysterious Island,"$103,860,290","$231,400,000","$335,260,290",tt1397514,https://www.boxofficemojo.com/release/rl1079870977/?ref_=bo_yld_table_26
Flight,"$93,772,375","$68,000,000","$161,772,375",tt1907668,https://www.boxofficemojo.com/release/rl1062372865/?ref_=bo_yld_table_27
Think Like a Man,"$91,547,205","$4,523,302","$96,070,507",tt1621045,https://www.boxofficemojo.com/release/rl1853130241/?ref_=bo_yld_table_28
Rise of the Guardians,"$103,412,758","$203,528,912","$306,941,670",tt1446192,https://www.boxofficemojo.com/release/rl2304214529/?ref_=bo_yld_table_29
Mission: Impossible - Ghost Protocol,"$209,397,903","$485,315,477","$694,713,380",tt1229238,https://www.boxofficemojo.com/release/rl1365411329/?ref_=bo_yld_table_30
The Campaign,"$86,907,746","$18,000,000","$104,907,746",tt1790886,https://www.boxofficemojo.com/release/rl124552705/?ref_=bo_yld_table_31
Life of Pi,"$124,987,023","$484,029,542","$609,016,565",tt0454876,https://www.boxofficemojo.com/release/rl2640217601/?ref_=bo_yld_table_32
The Expendables 2,"$85,028,192","$229,947,763","$314,975,955",tt1764651,https://www.boxofficemojo.com/release/rl1431340545/?ref_=bo_yld_table_33
Wrath of the Titans,"$83,670,083","$218,300,000","$301,970,083",tt1646987,https://www.boxofficemojo.com/release/rl977962497/?ref_=bo_yld_table_34
Dark Shadows,"$79,727,149","$165,800,000","$245,527,149",tt1077368,https://www.boxofficemojo.com/release/rl72123905/?ref_=bo_yld_table_35
John Carter,"$73,078,100","$211,061,000","$284,139,100",tt0401729,https://www.boxofficemojo.com/release/rl2002617857/?ref_=bo_yld_table_36
Les Misérables,"$148,809,770","$293,489,539","$442,299,309",tt1707386,https://www.boxofficemojo.com/release/rl1952351745/?ref_=bo_yld_table_37
Act of Valor,"$70,012,847","$12,484,188","$82,497,035",tt1591479,https://www.boxofficemojo.com/release/rl2118157825/?ref_=bo_yld_table_38
Django Unchained,"$162,805,434","$262,562,804","$425,368,238",tt1853728,https://www.boxofficemojo.com/release/rl3662644737/?ref_=bo_yld_table_39
Contraband,"$66,528,000","$29,734,212","$96,262,212",tt1524137,https://www.boxofficemojo.com/release/rl3427436033/?ref_=bo_yld_table_40
Looper,"$66,486,205","$110,020,614","$176,506,819",tt1276104,https://www.boxofficemojo.com/release/rl3059844609/?ref_=bo_yld_table_41
Madea's Witness Protection,"$65,653,242","$1,246,000","$66,899,242",tt2215285,https://www.boxofficemojo.com/release/rl1130399233/?ref_=bo_yld_table_42
Battleship,"$65,422,625","$237,602,860","$303,025,485",tt1440129,https://www.boxofficemojo.com/release/rl3259336193/?ref_=bo_yld_table_43
Mirror Mirror,"$64,935,167","$118,083,355","$183,018,522",tt1667353,https://www.boxofficemojo.com/release/rl1953531393/?ref_=bo_yld_table_44
Chronicle,"$64,575,175","$62,060,922","$126,636,097",tt1706593,https://www.boxofficemojo.com/release/rl2487977473/?ref_=bo_yld_table_45
Pitch Perfect,"$65,001,093","$50,349,333","$115,350,426",tt1981677,https://www.boxofficemojo.com/release/rl3949495809/?ref_=bo_yld_table_46
Hope Springs,"$63,536,011","$50,745,040","$114,281,051",tt1535438,https://www.boxofficemojo.com/release/rl1817675265/?ref_=bo_yld_table_47
Sherlock Holmes: A Game of Shadows,"$186,848,418","$357,000,000","$543,848,418",tt1515091,https://www.boxofficemojo.com/release/rl3614344705/?ref_=bo_yld_table_48
Underworld: Awakening,"$62,321,039","$97,791,632","$160,112,671",tt1496025,https://www.boxofficemojo.com/release/rl2172028417/?ref_=bo_yld_table_49
The Lucky One,"$60,457,138","$38,900,000","$99,357,138",tt1327194,https://www.boxofficemojo.com/release/rl2103477761/?ref_=bo_yld_table_50
The Dictator,"$59,650,222","$119,729,311","$179,379,533",tt1645170,https://www.boxofficemojo.com/release/rl2958001665/?ref_=bo_yld_table_51
Total Recall,"$58,877,969","$139,589,199","$198,467,168",tt1386703,https://www.boxofficemojo.com/release/rl58164737/?ref_=bo_yld_table_52
Titanic,"$57,884,114","$292,565,407","$350,449,521",tt0120338,https://www.boxofficemojo.com/release/rl3715401217/?ref_=bo_yld_table_53
American Reunion,"$57,011,521","$177,978,063","$234,989,584",tt1605630,https://www.boxofficemojo.com/release/rl2739111425/?ref_=bo_yld_table_54
ParaNorman,"$56,003,051","$51,136,348","$107,139,399",tt1623288,https://www.boxofficemojo.com/release/rl4067001857/?ref_=bo_yld_table_55
This Means War,"$54,760,791","$101,730,488","$156,491,279",tt1596350,https://www.boxofficemojo.com/release/rl1249150465/?ref_=bo_yld_table_56
Project X,"$54,731,865","$48,000,000","$102,731,865",tt1636826,https://www.boxofficemojo.com/release/rl1013614081/?ref_=bo_yld_table_57
The Woman in Black,"$54,333,290","$20,289,318","$74,622,608",tt1596365,https://www.boxofficemojo.com/release/rl964331009/?ref_=bo_yld_table_58
Paranormal Activity 4,"$53,885,000","$88,917,657","$142,802,657",tt2109184,https://www.boxofficemojo.com/release/rl2640938497/?ref_=bo_yld_table_59
The Devil Inside,"$53,261,944","$48,496,546","$101,758,490",tt1560985,https://www.boxofficemojo.com/release/rl1716487681/?ref_=bo_yld_table_60
The Girl with the Dragon Tattoo,"$102,515,793","$27,585,844","$130,101,637",tt1568346,https://www.boxofficemojo.com/release/rl55870977/?ref_=bo_yld_table_61
The Odd Life of Timothy Green,"$51,854,875","$4,157,767","$56,012,642",tt1462769,https://www.boxofficemojo.com/release/rl375817729/?ref_=bo_yld_table_62
Ghost Rider: Spirit of Vengeance,"$51,774,002","$80,789,928","$132,563,930",tt1071875,https://www.boxofficemojo.com/release/rl3595929089/?ref_=bo_yld_table_63
The Grey,"$51,580,236","$28,201,459","$79,781,695",tt1601913,https://www.boxofficemojo.com/release/rl3143075329/?ref_=bo_yld_table_64
Red Tails,"$49,876,377","$489,121","$50,365,498",tt0485985,https://www.boxofficemojo.com/release/rl1265468929/?ref_=bo_yld_table_65
The Possession,"$49,130,154","$36,315,921","$85,446,075",tt0431021,https://www.boxofficemojo.com/release/rl3142551041/?ref_=bo_yld_table_66
Diary of a Wimpy Kid: Dog Days,"$49,008,662","$28,221,033","$77,229,695",tt2023453,https://www.boxofficemojo.com/release/rl2692449793/?ref_=bo_yld_table_67
Sinister,"$48,086,903","$34,428,210","$82,515,113",tt1922777,https://www.boxofficemojo.com/release/rl2591131137/?ref_=bo_yld_table_68
Beauty and the Beast,"$47,617,067","$14,391,534","$62,008,601",tt0101414,https://www.boxofficemojo.com/release/rl256148993/?ref_=bo_yld_table_69
Jack Reacher,"$80,070,736","$138,269,859","$218,340,595",tt0790724,https://www.boxofficemojo.com/release/rl2758182401/?ref_=bo_yld_table_70
Savages,"$47,382,068","$35,584,084","$82,966,152",tt1615065,https://www.boxofficemojo.com/release/rl2758772225/?ref_=bo_yld_table_71
The Best Exotic Marigold Hotel,"$46,412,041","$90,424,115","$136,836,156",tt1412386,https://www.boxofficemojo.com/release/rl2504295937/?ref_=bo_yld_table_72
Moonrise Kingdom,"$45,512,466","$22,750,700","$68,263,166",tt1748122,https://www.boxofficemojo.com/release/rl1701152257/?ref_=bo_yld_table_73
Alvin and the Chipmunks: Chipwrecked,"$133,110,742","$209,584,693","$342,695,435",tt1615918,https://www.boxofficemojo.com/release/rl1766032897/?ref_=bo_yld_table_74
The Three Stooges,"$44,338,224","$10,481,077","$54,819,301",tt0383010,https://www.boxofficemojo.com/release/rl2876540417/?ref_=bo_yld_table_75
The Descendants,"$82,584,160","$12,074,865","$94,659,025",tt1033575,https://www.boxofficemojo.com/release/rl340755969/?ref_=bo_yld_table_76
Here Comes the Boom,"$45,290,318","$27,809,854","$73,100,172",tt1648179,https://www.boxofficemojo.com/release/rl39421441/?ref_=bo_yld_table_77
War Horse,"$79,884,879","$17,815,121","$97,700,000",tt1568911,https://www.boxofficemojo.com/release/rl880313857/?ref_=bo_yld_table_78
Red Dawn,"$44,806,783","$6,143,513","$50,950,296",tt1234719,https://www.boxofficemojo.com/release/rl1785562625/?ref_=bo_yld_table_79
Star Wars: Episode I - The Phantom Menace,"$43,458,335","$15,824,876","$59,283,211",tt0120915,https://www.boxofficemojo.com/release/rl1349682689/?ref_=bo_yld_table_80
Resident Evil: Retribution,"$42,345,531","$197,813,724","$240,159,255",tt1855325,https://www.boxofficemojo.com/release/rl2389542401/?ref_=bo_yld_table_81
The Cabin in the Woods,"$42,073,277","$27,862,323","$69,935,600",tt1259521,https://www.boxofficemojo.com/release/rl3259598337/?ref_=bo_yld_table_82
What to Expect When You're Expecting,"$41,152,203","$2,079,596","$43,231,799",tt1586265,https://www.boxofficemojo.com/release/rl3799549441/?ref_=bo_yld_table_83
Finding Nemo,"$41,128,283","$28,200,000","$69,328,283",tt0266543,https://www.boxofficemojo.com/release/rl2706605569/?ref_=bo_yld_table_84
End of Watch,"$41,003,371","$14,074,775","$55,078,146",tt1855199,https://www.boxofficemojo.com/release/rl4233201153/?ref_=bo_yld_table_85
The Artist,"$44,671,682","$88,761,174","$133,432,856",tt1655442,https://www.boxofficemojo.com/release/rl2453833217/?ref_=bo_yld_table_86
This Is 40,"$67,544,505","$20,670,651","$88,215,156",tt1758830,https://www.boxofficemojo.com/release/rl1749190145/?ref_=bo_yld_table_87
We Bought a Zoo,"$75,624,550","$44,457,291","$120,081,841",tt1389137,https://www.boxofficemojo.com/release/rl2638644737/?ref_=bo_yld_table_88
Rock of Ages,"$38,518,613","$20,900,000","$59,418,613",tt1336608,https://www.boxofficemojo.com/release/rl1198294529/?ref_=bo_yld_table_89
Abraham Lincoln: Vampire Hunter,"$37,519,139","$78,952,441","$116,471,580",tt1611224,https://www.boxofficemojo.com/release/rl591431169/?ref_=bo_yld_table_90
Lawless,"$37,400,127","$18,004,032","$55,404,159",tt1212450,https://www.boxofficemojo.com/release/rl2306377217/?ref_=bo_yld_table_91
That's My Boy,"$36,931,089","$20,788,004","$57,719,093",tt1232200,https://www.boxofficemojo.com/release/rl2908128769/?ref_=bo_yld_table_92
Trouble with the Curve,"$35,763,137","$13,200,000","$48,963,137",tt2083383,https://www.boxofficemojo.com/release/rl3849815553/?ref_=bo_yld_table_93
The Watch,"$35,353,000","$32,914,862","$68,267,862",tt1298649,https://www.boxofficemojo.com/release/rl4049896961/?ref_=bo_yld_table_94
Step Up Revolution,"$35,074,677","$105,396,069","$140,470,746",tt1800741,https://www.boxofficemojo.com/release/rl3681781249/?ref_=bo_yld_table_95
Good Deeds,"$35,025,791","$553,386","$35,579,177",tt1885265,https://www.boxofficemojo.com/release/rl3897853441/?ref_=bo_yld_table_96
Frankenweenie,"$35,291,068","$10,908,932","$46,200,000",tt1142977,https://www.boxofficemojo.com/release/rl2169669121/?ref_=bo_yld_table_97
Parental Guidance,"$77,267,296","$42,504,936","$119,772,232",tt1047540,https://www.boxofficemojo.com/release/rl2204730881/?ref_=bo_yld_table_98
The Adventures of Tintin,"$77,591,831","$296,402,120","$373,993,951",tt0983193,https://www.boxofficemojo.com/release/rl3832841729/?ref_=bo_yld_table_99
2016: Obama's America,"$33,449,086",$0,"$33,449,086",tt2247692,https://www.boxofficemojo.com/release/rl1665238529/?ref_=bo_yld_table_100
House at the End of the Street,"$31,611,916","$12,675,215","$44,287,131",tt1582507,https://www.boxofficemojo.com/release/rl1834518017/?ref_=bo_yld_table_101
Extremely Loud & Incredibly Close,"$31,847,881","$23,400,000","$55,247,881",tt0477302,https://www.boxofficemojo.com/release/rl1179682305/?ref_=bo_yld_table_102
The Pirates! Band of Misfits,"$31,051,126","$92,002,915","$123,054,041",tt1430626,https://www.boxofficemojo.com/release/rl4050159105/?ref_=bo_yld_table_103
Joyful Noise,"$30,932,113","$226,000","$31,158,113",tt1710396,https://www.boxofficemojo.com/release/rl3109914113/?ref_=bo_yld_table_104
The Iron Lady,"$30,017,992","$85,872,707","$115,890,699",tt1007029,https://www.boxofficemojo.com/release/rl1733985793/?ref_=bo_yld_table_105
Chimpanzee,"$28,972,764","$5,851,000","$34,823,764",tt1222815,https://www.boxofficemojo.com/release/rl1296795137/?ref_=bo_yld_table_106
The Five-Year Engagement,"$28,835,528","$25,333,835","$54,169,363",tt1195478,https://www.boxofficemojo.com/release/rl3679684097/?ref_=bo_yld_table_107
Silver Linings Playbook,"$132,092,958","$104,319,495","$236,412,453",tt1045658,https://www.boxofficemojo.com/release/rl1332839937/?ref_=bo_yld_table_108
Cloud Atlas,"$27,108,272","$103,374,596","$130,482,868",tt1371111,https://www.boxofficemojo.com/release/rl256542209/?ref_=bo_yld_table_109
One for the Money,"$26,414,527","$11,666,262","$38,080,789",tt1598828,https://www.boxofficemojo.com/release/rl3009840641/?ref_=bo_yld_table_110
Alex Cross,"$25,888,412","$8,730,455","$34,618,867",tt1712170,https://www.boxofficemojo.com/release/rl3879765505/?ref_=bo_yld_table_111
Katy Perry: Part of Me,"$25,326,071","$7,400,885","$32,726,956",tt2215719,https://www.boxofficemojo.com/release/rl3277686273/?ref_=bo_yld_table_112
Hugo,"$73,864,507","$111,905,653","$185,770,160",tt0970179,https://www.boxofficemojo.com/release/rl2438497793/?ref_=bo_yld_table_113
Sparkle,"$24,397,469","$240,331","$24,637,800",tt1876451,https://www.boxofficemojo.com/release/rl3748693505/?ref_=bo_yld_table_114
The Guilt Trip,"$37,134,215","$4,729,511","$41,863,726",tt1694020,https://www.boxofficemojo.com/release/rl3026552321/?ref_=bo_yld_table_115
Tinker Tailor Soldier Spy,"$24,149,393","$57,095,212","$81,244,605",tt1340800,https://www.boxofficemojo.com/release/rl3799287297/?ref_=bo_yld_table_116
Premium Rush,"$20,275,446","$10,808,153","$31,083,599",tt1547234,https://www.boxofficemojo.com/release/rl2724955649/?ref_=bo_yld_table_117
Big Miracle,"$20,157,300","$4,561,915","$24,719,215",tt1430615,https://www.boxofficemojo.com/release/rl492865025/?ref_=bo_yld_table_118
"Monsters, Inc.","$34,043,006","$16,164,814","$50,207,820",tt0198781,https://www.boxofficemojo.com/release/rl2036696577/?ref_=bo_yld_table_119
The Secret World of Arrietty,"$19,202,743","$129,766,018","$148,968,761",tt1568921,https://www.boxofficemojo.com/release/rl2739045889/?ref_=bo_yld_table_120
Haywire,"$18,942,396","$15,571,364","$34,513,760",tt1506999,https://www.boxofficemojo.com/release/rl2539030017/?ref_=bo_yld_table_121
Man on a Ledge,"$18,620,000","$29,016,031","$47,636,031",tt1568338,https://www.boxofficemojo.com/release/rl493061633/?ref_=bo_yld_table_122
A Thousand Words,"$18,450,127","$3,594,150","$22,044,277",tt0763831,https://www.boxofficemojo.com/release/rl3846342145/?ref_=bo_yld_table_123
Chernobyl Diaries,"$18,119,640","$2,150,740","$20,270,380",tt1991245,https://www.boxofficemojo.com/release/rl1967883777/?ref_=bo_yld_table_124
Silent Hill: Revelation,"$17,529,157","$37,833,548","$55,362,705",tt0938330,https://www.boxofficemojo.com/release/rl1550943745/?ref_=bo_yld_table_125
Wanderlust,"$17,450,535","$6,362,281","$23,812,816",tt1655460,https://www.boxofficemojo.com/release/rl3229189633/?ref_=bo_yld_table_126
The Perks of Being a Wallflower,"$17,742,948","$15,641,179","$33,384,127",tt1659337,https://www.boxofficemojo.com/release/rl1751680513/?ref_=bo_yld_table_127
Safe,"$17,142,080","$7,280,510","$24,422,590",tt1656190,https://www.boxofficemojo.com/release/rl40863233/?ref_=bo_yld_table_128
To Rome with Love,"$16,685,867","$56,559,014","$73,244,881",tt1859650,https://www.boxofficemojo.com/release/rl3966010881/?ref_=bo_yld_table_129
The Raven,"$16,008,272","$13,691,073","$29,699,345",tt1486192,https://www.boxofficemojo.com/release/rl896370177/?ref_=bo_yld_table_130
The Master,"$16,377,274","$11,880,786","$28,258,060",tt1560747,https://www.boxofficemojo.com/release/rl2422441473/?ref_=bo_yld_table_131
The Man with the Iron Fists,"$15,634,090","$4,912,428","$20,546,518",tt1258972,https://www.boxofficemojo.com/release/rl727942657/?ref_=bo_yld_table_132
Seven Psychopaths,"$15,024,049","$14,323,153","$29,347,202",tt1931533,https://www.boxofficemojo.com/release/rl1164871169/?ref_=bo_yld_table_133
Killing Them Softly,"$15,026,056","$22,904,409","$37,930,465",tt1764234,https://www.boxofficemojo.com/release/rl1565165057/?ref_=bo_yld_table_134
Lockout,"$14,326,864","$4,294,385","$18,621,249",tt1592525,https://www.boxofficemojo.com/release/rl2019657217/?ref_=bo_yld_table_135
Hit and Run,"$13,749,300","$3,067,347","$16,816,647",tt2097307,https://www.boxofficemojo.com/release/rl2589558273/?ref_=bo_yld_table_136
Dredd,"$13,414,714","$27,623,028","$41,037,742",tt1343727,https://www.boxofficemojo.com/release/rl2823718401/?ref_=bo_yld_table_137
Silent House,"$12,754,783","$3,772,964","$16,527,747",tt1767382,https://www.boxofficemojo.com/release/rl1584498177/?ref_=bo_yld_table_138
Playing for Keeps,"$13,103,272","$4,755,791","$17,859,063",tt1540128,https://www.boxofficemojo.com/release/rl946570753/?ref_=bo_yld_table_139
People Like Us,"$12,434,778","$124,153","$12,558,931",tt1716777,https://www.boxofficemojo.com/release/rl342394369/?ref_=bo_yld_table_140
Gone,"$11,682,205","$8,085,330","$19,767,535",tt1838544,https://www.boxofficemojo.com/release/rl2404681217/?ref_=bo_yld_table_141
The Words,"$11,494,838","$4,455,326","$15,950,164",tt1840417,https://www.boxofficemojo.com/release/rl310019585/?ref_=bo_yld_table_142
Beasts of the Southern Wild,"$12,795,746","$8,312,000","$21,107,746",tt2125435,https://www.boxofficemojo.com/release/rl793019905/?ref_=bo_yld_table_143
Anna Karenina,"$12,816,367","$56,112,783","$68,929,150",tt1781769,https://www.boxofficemojo.com/release/rl742557185/?ref_=bo_yld_table_144
To the Arctic 3D,"$14,560,838","$9,134,550","$23,695,388",tt2073128,https://www.boxofficemojo.com/release/rl91719169/?ref_=bo_yld_table_145
New Year's Eve,"$54,544,638","$87,500,000","$142,044,638",tt1598822,https://www.boxofficemojo.com/release/rl963085825/?ref_=bo_yld_table_146
The Intouchables,"$10,198,820","$416,389,690","$426,588,510",tt1675434,https://www.boxofficemojo.com/release/rl207259137/?ref_=bo_yld_table_147
The Darkest Hour,"$21,443,494","$43,183,292","$64,626,786",tt1093357,https://www.boxofficemojo.com/release/rl374113793/?ref_=bo_yld_table_148
Fun Size,"$9,409,538","$2,007,824","$11,417,362",tt1663143,https://www.boxofficemojo.com/release/rl1968539137/?ref_=bo_yld_table_149
Bernie,"$9,206,470","$884,171","$10,090,641",tt1704573,https://www.boxofficemojo.com/release/rl2604959233/?ref_=bo_yld_table_150
Salmon Fishing in the Yemen,"$9,047,981","$25,516,670","$34,564,651",tt1441952,https://www.boxofficemojo.com/release/rl1869579777/?ref_=bo_yld_table_151
Cirque du Soleil: Worlds Away,"$12,512,862","$21,640,239","$34,153,101",tt1792647,https://www.boxofficemojo.com/release/rl3947595265/?ref_=bo_yld_table_152
Arbitrage,"$7,919,574","$27,565,482","$35,485,056",tt1764183,https://www.boxofficemojo.com/release/rl1262650881/?ref_=bo_yld_table_153
Friends with Kids,"$7,251,073","$5,768,000","$13,019,073",tt1720616,https://www.boxofficemojo.com/release/rl844465665/?ref_=bo_yld_table_154
Seeking a Friend for the End of the World,"$7,078,738","$4,603,043","$11,681,781",tt1307068,https://www.boxofficemojo.com/release/rl91129345/?ref_=bo_yld_table_155
A Separation,"$7,099,055","$15,827,021","$22,926,076",tt1832382,https://www.boxofficemojo.com/release/rl2168620545/?ref_=bo_yld_table_156
The Collection,"$6,842,058","$3,087,648","$9,929,706",tt1748227,https://www.boxofficemojo.com/release/rl1095403009/?ref_=bo_yld_table_157
The Muppets,"$88,631,237","$76,553,000","$165,184,237",tt1204342,https://www.boxofficemojo.com/release/rl3445982721/?ref_=bo_yld_table_158
Born to Be Wild,"$25,978,556","$15,665,919","$41,644,475",tt1680059,https://www.boxofficemojo.com/release/rl2923857409/?ref_=bo_yld_table_159
The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133","$430,918,723","$712,205,856",tt1324999,https://www.boxofficemojo.com/release/rl3292956161/?ref_=bo_yld_table_160
My Week with Marilyn,"$14,600,347","$5,857,002","$20,457,349",tt1655420,https://www.boxofficemojo.com/release/rl3111683585/?ref_=bo_yld_table_161
