Year,Title,Domestic,International,Worldwide,ImdbID,URL
1979,Buck Rogers in the 25th Century,"$21,671,241",$0,"$21,671,241",tt0077278,https://www.boxofficemojo.com/release/rl2890499585/?ref_=bo_yld_table_23
1979,National Lampoon's Animal House,"$21,508,877",$0,"$21,508,877",tt0077975,https://www.boxofficemojo.com/release/rl977438209/?ref_=bo_yld_table_19
1979,La Cage aux Folles,"$20,424,259",$0,"$20,424,259",tt0077288,https://www.boxofficemojo.com/release/rl3327952385/?ref_=bo_yld_table_20
1979,Dracula,"$20,158,970",$0,"$20,158,970",tt0079073,https://www.boxofficemojo.com/release/rl1565427201/?ref_=bo_yld_table_21
1979,Monty Python's Life of Brian,"$19,398,164","$26,174","$19,424,338",tt0079470,https://www.boxofficemojo.com/release/rl2908653057/?ref_=bo_yld_table_22
1979,Breaking Away,"$16,424,918",$0,"$16,424,918",tt0078902,https://www.boxofficemojo.com/release/rl3477505537/?ref_=bo_yld_table_24
1979,Roller Boogie,"$13,253,715",$0,"$13,253,715",tt0079822,https://www.boxofficemojo.com/release/rl2691466753/?ref_=bo_yld_table_25
1979,The Great Train Robbery,"$13,027,857",$0,"$13,027,857",tt0079240,https://www.boxofficemojo.com/release/rl1482130945/?ref_=bo_yld_table_26
1979,Fiddler on the Roof,"$10,404,330",$0,"$10,404,330",tt0067093,https://www.boxofficemojo.com/release/rl1733527041/?ref_=bo_yld_table_28
1979,The Frisco Kid,"$9,346,177",$0,"$9,346,177",tt0079180,https://www.boxofficemojo.com/release/rl743802369/?ref_=bo_yld_table_29
1979,The Fish That Saved Pittsburgh,"$8,281,246",$0,"$8,281,246",tt0079154,https://www.boxofficemojo.com/release/rl3931342337/?ref_=bo_yld_table_30
1979,The Prisoner of Zenda,"$7,650,600",$0,"$7,650,600",tt0079753,https://www.boxofficemojo.com/release/rl3714811393/?ref_=bo_yld_table_31
1979,Cuba,"$5,610,280",$0,"$5,610,280",tt0079013,https://www.boxofficemojo.com/release/rl2219673089/?ref_=bo_yld_table_33
1979,Butch and Sundance: The Early Days,"$5,136,913",$0,"$5,136,913",tt0078919,https://www.boxofficemojo.com/release/rl3645474305/?ref_=bo_yld_table_34
1979,The Great Santini,"$4,702,575",$0,"$4,702,575",tt0079239,https://www.boxofficemojo.com/release/rl1666680321/?ref_=bo_yld_table_35
1979,Lost and Found,"$3,223,197",$0,"$3,223,197",tt0079486,https://www.boxofficemojo.com/release/rl2304869889/?ref_=bo_yld_table_36
1979,Voices,"$2,631,244",$0,"$2,631,244",tt0080103,https://www.boxofficemojo.com/release/rl2658764289/?ref_=bo_yld_table_37
1979,Rich Kids,"$1,856,122",$0,"$1,856,122",tt0079806,https://www.boxofficemojo.com/release/rl946636289/?ref_=bo_yld_table_38
1979,Last Embrace,"$1,537,125",$0,"$1,537,125",tt0079437,https://www.boxofficemojo.com/release/rl1113556481/?ref_=bo_yld_table_39
1979,The Passage,"$1,101,186",$0,"$1,101,186",tt0079700,https://www.boxofficemojo.com/release/rl3983115777/?ref_=bo_yld_table_40
1980,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025",$0,"$209,398,025",tt0080684,https://www.boxofficemojo.com/release/rl2775811585/?ref_=bo_yld_table_1
1980,Kramer vs. Kramer,"$106,260,000",$0,"$106,260,000",tt0079417,https://www.boxofficemojo.com/release/rl3999041025/?ref_=bo_yld_table_4
