Title,Domestic,International,Worldwide,ImdbID,URL
Barbie,"$636,238,421","$174,561,579","$810,800,000",tt1517268,https://www.boxofficemojo.com/release/rl1077904129/?ref_=bo_yld_table_1
The Super Mario Bros. Movie,"$574,934,330","$210,979,005","$785,913,335",tt6718170,https://www.boxofficemojo.com/release/rl1930593025/?ref_=bo_yld_table_2
Spider-Man: Across the Spider-Verse,"$381,311,319","$309,230,984","$690,542,303",tt9362722,https://www.boxofficemojo.com/release/rl2812183041/?ref_=bo_yld_table_3
Guardians of the Galaxy Vol. 3,"$358,995,815","$127,564,147","$486,559,962",tt6791350,https://www.boxofficemojo.com/release/rl2977202945/?ref_=bo_yld_table_4
Oppenheimer,"$330,078,895","$645,732,438","$975,811,333",tt15398776,https://www.boxofficemojo.com/release/rl3725886209/?ref_=bo_yld_table_5
The Little Mermaid,"$298,172,056","$271,454,233","$569,626,289",tt5971474,https://www.boxofficemojo.com/release/rl1913750273/?ref_=bo_yld_table_6
Avatar: The Way of Water,"$684,075,767",$0,"$684,075,767",tt1630029,https://www.boxofficemojo.com/release/rl3372254721/?ref_=bo_yld_table_7
Ant-Man and the Wasp: Quantumania,"$214,504,909","$47,061,362","$261,566,271",tt10954600,https://www.boxofficemojo.com/release/rl3195306753/?ref_=bo_yld_table_8
John Wick: Chapter 4,"$187,131,806","$72,878,909","$260,010,715",tt10366206,https://www.boxofficemojo.com/release/rl1644725761/?ref_=bo_yld_table_9
Sound of Freedom,"$184,178,046","$66,392,350","$250,570,396",tt7599146,https://www.boxofficemojo.com/release/rl4254237441/?ref_=bo_yld_table_10
Taylor Swift: The Eras Tour,"$180,756,269","$80,900,000","$261,656,269",tt28814949,https://www.boxofficemojo.com/release/rl4054352641/?ref_=bo_yld_table_11
Indiana Jones and the Dial of Destiny,"$174,480,468","$35,002,121","$209,482,589",tt1462764,https://www.boxofficemojo.com/release/rl2776598017/?ref_=bo_yld_table_12
Mission: Impossible - Dead Reckoning Part One,"$172,640,980","$398,484,455","$571,125,435",tt9603212,https://www.boxofficemojo.com/release/rl1896449537/?ref_=bo_yld_table_13
The Hunger Games: The Ballad of Songbirds & Snakes,"$166,350,594","$15,723,301","$182,073,895",tt10545296,https://www.boxofficemojo.com/release/rl1262387969/?ref_=bo_yld_table_14
Transformers: Rise of the Beasts,"$157,341,749","$284,314,801","$441,656,550",tt5090568,https://www.boxofficemojo.com/release/rl1606320641/?ref_=bo_yld_table_15
Creed III,"$156,248,615","$119,900,000","$276,148,615",tt11145118,https://www.boxofficemojo.com/release/rl1713734401/?ref_=bo_yld_table_16
Elemental,"$154,426,697","$342,017,611","$496,444,308",tt15789038,https://www.boxofficemojo.com/release/rl1811383041/?ref_=bo_yld_table_17
Fast X,"$146,126,015","$558,749,000","$704,875,015",tt5433140,https://www.boxofficemojo.com/release/rl209683969/?ref_=bo_yld_table_18
Five Nights at Freddy's,"$137,275,620","$16,942,380","$154,218,000",tt4589218,https://www.boxofficemojo.com/release/rl764248833/?ref_=bo_yld_table_19
Wonka,"$218,402,312","$416,100,000","$634,502,312",tt6166392,https://www.boxofficemojo.com/release/rl2942927617/?ref_=bo_yld_table_20
Puss in Boots: The Last Wish,"$186,090,535","$294,375,878","$480,466,413",tt3915174,https://www.boxofficemojo.com/release/rl3899622145/?ref_=bo_yld_table_21
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,700,272","$63,235,246","$181,935,518",tt8589698,https://www.boxofficemojo.com/release/rl393904897/?ref_=bo_yld_table_22
Scream VI,"$108,391,107","$58,186,125","$166,577,232",tt17663992,https://www.boxofficemojo.com/release/rl1714914049/?ref_=bo_yld_table_23
The Flash,"$108,133,313","$163,300,000","$271,433,313",tt0439572,https://www.boxofficemojo.com/release/rl2225635841/?ref_=bo_yld_table_24
Trolls Band Together,"$103,270,155","$3,105,720","$106,375,875",tt14362112,https://www.boxofficemojo.com/release/rl577798913/?ref_=bo_yld_table_25
M3GAN,"$95,159,005","$84,930,104","$180,089,109",tt8760708,https://www.boxofficemojo.com/release/rl1110147841/?ref_=bo_yld_table_26
Dungeons & Dragons: Honor Among Thieves,"$93,549,650","$18,361,087","$111,910,737",tt2906216,https://www.boxofficemojo.com/release/rl1879410177/?ref_=bo_yld_table_27
The Equalizer 3,"$92,373,751","$6,320,058","$98,693,809",tt17024450,https://www.boxofficemojo.com/release/rl1430029057/?ref_=bo_yld_table_28
The Nun II,"$86,267,073","$183,400,000","$269,667,073",tt10160976,https://www.boxofficemojo.com/release/rl1339523841/?ref_=bo_yld_table_29
The Marvels,"$84,500,223","$37,136,379","$121,636,602",tt10676048,https://www.boxofficemojo.com/release/rl247366145/?ref_=bo_yld_table_30
Meg 2: The Trench,"$82,600,317","$315,200,000","$397,800,317",tt9224104,https://www.boxofficemojo.com/release/rl3090514689/?ref_=bo_yld_table_31
Insidious: The Red Door,"$82,156,962","$24,772,953","$106,929,915",tt13405778,https://www.boxofficemojo.com/release/rl1137607425/?ref_=bo_yld_table_32
Aquaman and the Lost Kingdom,"$124,481,226","$315,700,000","$440,181,226",tt9663764,https://www.boxofficemojo.com/release/rl3003745793/?ref_=bo_yld_table_33
Blue Beetle,"$72,488,072","$58,300,000","$130,788,072",tt9362930,https://www.boxofficemojo.com/release/rl3693445889/?ref_=bo_yld_table_34
Haunted Mansion,"$67,653,287","$49,796,503","$117,449,790",tt1695843,https://www.boxofficemojo.com/release/rl707822337/?ref_=bo_yld_table_35
Killers of the Flower Moon,"$68,035,488","$22,701,623","$90,737,111",tt5537002,https://www.boxofficemojo.com/release/rl629703425/?ref_=bo_yld_table_36
Evil Dead Rise,"$67,233,054","$12,566,946","$79,800,000",tt13345606,https://www.boxofficemojo.com/release/rl1289192193/?ref_=bo_yld_table_37
The Exorcist: Believer,"$65,537,395","$5,219,817","$70,757,212",tt12921446,https://www.boxofficemojo.com/release/rl2047378177/?ref_=bo_yld_table_38
PAW Patrol: The Mighty Movie,"$65,343,309","$139,755,560","$205,098,869",tt15837338,https://www.boxofficemojo.com/release/rl3038479105/?ref_=bo_yld_table_39
Cocaine Bear,"$64,670,240","$23,644,432","$88,314,672",tt14209916,https://www.boxofficemojo.com/release/rl2503901953/?ref_=bo_yld_table_40
A Man Called Otto,"$64,267,657","$49,092,428","$113,360,085",tt7405458,https://www.boxofficemojo.com/release/rl3442377473/?ref_=bo_yld_table_41
Wish,"$63,973,821","$191,023,539","$254,997,360",tt11304740,https://www.boxofficemojo.com/release/rl3097657857/?ref_=bo_yld_table_42
