Title,Domestic,International,Worldwide,ImdbID,URL
Top Gun,"$176,781,728","$130,056","$176,911,784",tt0092099,https://www.boxofficemojo.com/release/rl444040705/?ref_=bo_yld_table_1
Crocodile Dundee,"$174,803,506","$131,330","$174,934,836",tt0090555,https://www.boxofficemojo.com/release/rl3108865537/?ref_=bo_yld_table_2
The Karate Kid Part II,"$115,103,979",$0,"$115,103,979",tt0091326,https://www.boxofficemojo.com/release/rl3395126785/?ref_=bo_yld_table_3
Back to School,"$91,258,000",$0,"$91,258,000",tt0090685,https://www.boxofficemojo.com/release/rl1984267777/?ref_=bo_yld_table_4
Aliens,"$85,160,248","$10,472","$85,170,720",tt0090605,https://www.boxofficemojo.com/release/rl3309340161/?ref_=bo_yld_table_5
The Color Purple,"$94,175,854",$0,"$94,175,854",tt0088939,https://www.boxofficemojo.com/release/rl71992833/?ref_=bo_yld_table_6
Star Trek IV: The Voyage Home,"$109,713,132",$0,"$109,713,132",tt0092007,https://www.boxofficemojo.com/release/rl3027469825/?ref_=bo_yld_table_7
Ruthless People,"$71,624,879",$0,"$71,624,879",tt0091877,https://www.boxofficemojo.com/release/rl493848065/?ref_=bo_yld_table_8
Out of Africa,"$87,071,205","$138,455,000","$225,526,205",tt0089755,https://www.boxofficemojo.com/release/rl107578881/?ref_=bo_yld_table_9
Ferris Bueller's Day Off,"$70,136,369","$576,308","$70,712,677",tt0091042,https://www.boxofficemojo.com/release/rl1767081473/?ref_=bo_yld_table_10
Down and Out in Beverly Hills,"$62,134,225",$0,"$62,134,225",tt0090966,https://www.boxofficemojo.com/release/rl1917748737/?ref_=bo_yld_table_11
The Color of Money,"$52,293,982",$0,"$52,293,982",tt0090863,https://www.boxofficemojo.com/release/rl3192555009/?ref_=bo_yld_table_12
Stand by Me,"$52,287,414","$13,286","$52,300,700",tt0092005,https://www.boxofficemojo.com/release/rl1534297601/?ref_=bo_yld_table_13
Legal Eagles,"$49,851,591",$0,"$49,851,591",tt0091396,https://www.boxofficemojo.com/release/rl928941569/?ref_=bo_yld_table_14
