Title,Domestic,International,Worldwide,ImdbID,URL
Star Wars: Episode III - Revenge of the Sith,"$380,270,577","$89,456,451","$469,727,028",tt0121766,https://www.boxofficemojo.com/release/rl2943583745/?ref_=bo_yld_table_1
Harry Potter and the Goblet of Fire,"$290,013,036","$605,908,000","$895,921,036",tt0330373,https://www.boxofficemojo.com/release/rl1466664449/?ref_=bo_yld_table_2
War of the Worlds,"$234,280,354","$369,592,765","$603,873,119",tt0407304,https://www.boxofficemojo.com/release/rl544769537/?ref_=bo_yld_table_3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957","$453,302,158","$745,013,115",tt0363771,https://www.boxofficemojo.com/release/rl2623833601/?ref_=bo_yld_table_4
Wedding Crashers,"$209,255,921","$79,211,724","$288,467,645",tt0396269,https://www.boxofficemojo.com/release/rl1282967041/?ref_=bo_yld_table_5
Charlie and the Chocolate Factory,"$206,459,076","$62,050,611","$268,509,687",tt0367594,https://www.boxofficemojo.com/release/rl659260929/?ref_=bo_yld_table_6
Batman Begins,"$205,343,774","$168,100,000","$373,443,774",tt0372784,https://www.boxofficemojo.com/release/rl3510994433/?ref_=bo_yld_table_7
Madagascar,"$193,595,521","$348,468,325","$542,063,846",tt0351283,https://www.boxofficemojo.com/release/rl1398834689/?ref_=bo_yld_table_8
Mr. & Mrs. Smith,"$186,336,279","$300,951,367","$487,287,646",tt0356910,https://www.boxofficemojo.com/release/rl2238023169/?ref_=bo_yld_table_9
Hitch,"$179,495,555","$12,603,100","$192,098,655",tt0386588,https://www.boxofficemojo.com/release/rl2606335489/?ref_=bo_yld_table_10
King Kong,"$218,080,025","$338,826,353","$556,906,378",tt0360717,https://www.boxofficemojo.com/release/rl1331463681/?ref_=bo_yld_table_11
The Longest Yard,"$158,119,460","$33,347,096","$191,466,556",tt0398165,https://www.boxofficemojo.com/release/rl1298236929/?ref_=bo_yld_table_12
Fantastic Four,"$154,696,080","$24,143,774","$178,839,854",tt0120667,https://www.boxofficemojo.com/release/rl3662710273/?ref_=bo_yld_table_13
Meet the Fockers,"$279,261,160","$243,396,776","$522,657,936",tt0290002,https://www.boxofficemojo.com/release/rl862094849/?ref_=bo_yld_table_14
Chicken Little,"$135,386,665","$43,659,507","$179,046,172",tt0371606,https://www.boxofficemojo.com/release/rl1615562241/?ref_=bo_yld_table_15
Robots,"$128,200,012","$6,111,466","$134,311,478",tt0358082,https://www.boxofficemojo.com/release/rl1231848961/?ref_=bo_yld_table_16
The Pacifier,"$113,086,868","$85,550,000","$198,636,868",tt0395699,https://www.boxofficemojo.com/release/rl1416201729/?ref_=bo_yld_table_17
The 40-Year-Old Virgin,"$109,449,237","$67,929,408","$177,378,645",tt0405422,https://www.boxofficemojo.com/release/rl4165043713/?ref_=bo_yld_table_18
Million Dollar Baby,"$100,492,203","$15,779,240","$116,271,443",tt0405159,https://www.boxofficemojo.com/release/rl2288158209/?ref_=bo_yld_table_19
Walk the Line,"$119,519,402","$67,278,584","$186,797,986",tt0358273,https://www.boxofficemojo.com/release/rl3665397249/?ref_=bo_yld_table_20
Flightplan,"$89,707,299","$43,972,701","$133,680,000",tt0408790,https://www.boxofficemojo.com/release/rl877823489/?ref_=bo_yld_table_21
Saw II,"$87,039,965","$60,708,540","$147,748,505",tt0432348,https://www.boxofficemojo.com/release/rl2322564609/?ref_=bo_yld_table_22
Monster-in-Law,"$82,931,301","$72,526,026","$155,457,327",tt0369735,https://www.boxofficemojo.com/release/rl1885701633/?ref_=bo_yld_table_23
Are We There Yet?,"$82,674,398","$15,244,265","$97,918,663",tt0368578,https://www.boxofficemojo.com/release/rl1145210369/?ref_=bo_yld_table_24
The Dukes of Hazzard,"$80,270,227","$30,799,288","$111,069,515",tt0377818,https://www.boxofficemojo.com/release/rl3947791873/?ref_=bo_yld_table_25
The Aviator,"$102,610,330","$8,499,282","$111,109,612",tt0338751,https://www.boxofficemojo.com/release/rl742753793/?ref_=bo_yld_table_26
March of the Penguins,"$77,437,223","$49,955,470","$127,392,693",tt0428803,https://www.boxofficemojo.com/release/rl1818461697/?ref_=bo_yld_table_27
The Ring Two,"$76,231,249","$11,533,451","$87,764,700",tt0377109,https://www.boxofficemojo.com/release/rl493651457/?ref_=bo_yld_table_28
Constantine,"$75,976,178","$154,908,550","$230,884,728",tt0360486,https://www.boxofficemojo.com/release/rl3511322113/?ref_=bo_yld_table_29
The Exorcism of Emily Rose,"$75,072,454","$70,094,350","$145,166,804",tt0404032,https://www.boxofficemojo.com/release/rl1548781057/?ref_=bo_yld_table_30
Four Brothers,"$74,494,381","$17,880,293","$92,374,674",tt0430105,https://www.boxofficemojo.com/release/rl2941421057/?ref_=bo_yld_table_31
Sin City,"$74,103,820","$10,526,180","$84,630,000",tt0401792,https://www.boxofficemojo.com/release/rl3027338753/?ref_=bo_yld_table_32
The Interpreter,"$72,708,161","$17,528,601","$90,236,762",tt0373926,https://www.boxofficemojo.com/release/rl693798401/?ref_=bo_yld_table_33
Guess Who,"$68,915,888","$34,205,578","$103,121,466",tt0372237,https://www.boxofficemojo.com/release/rl2404877825/?ref_=bo_yld_table_34
Sahara,"$68,671,925","$50,568,426","$119,240,351",tt0318649,https://www.boxofficemojo.com/release/rl2121238017/?ref_=bo_yld_table_35
Coach Carter,"$67,264,877","$9,404,677","$76,669,554",tt0393162,https://www.boxofficemojo.com/release/rl2118813185/?ref_=bo_yld_table_36
Herbie: Fully Loaded,"$66,023,816","$12,099,184","$78,123,000",tt0400497,https://www.boxofficemojo.com/release/rl358188545/?ref_=bo_yld_table_37
The Amityville Horror,"$65,233,369","$42,283,000","$107,516,369",tt0384806,https://www.boxofficemojo.com/release/rl2185463297/?ref_=bo_yld_table_38
Sky High,"$63,946,815","$22,423,000","$86,369,815",tt0405325,https://www.boxofficemojo.com/release/rl4017194497/?ref_=bo_yld_table_39
Bewitched,"$63,313,159","$4,799,851","$68,113,010",tt0374536,https://www.boxofficemojo.com/release/rl3510928897/?ref_=bo_yld_table_40
Jarhead,"$62,658,220","$34,417,932","$97,076,152",tt0418763,https://www.boxofficemojo.com/release/rl3646588417/?ref_=bo_yld_table_41
Cinderella Man,"$61,649,911","$46,890,000","$108,539,911",tt0352248,https://www.boxofficemojo.com/release/rl4182476289/?ref_=bo_yld_table_42
Red Eye,"$57,891,803","$38,366,398","$96,258,201",tt0421239,https://www.boxofficemojo.com/release/rl1869448705/?ref_=bo_yld_table_43
White Noise,"$56,386,759","$34,809,660","$91,196,419",tt0375210,https://www.boxofficemojo.com/release/rl209421825/?ref_=bo_yld_table_44
Be Cool,"$56,046,979","$39,716,737","$95,763,716",tt0377471,https://www.boxofficemojo.com/release/rl2101642753/?ref_=bo_yld_table_45
Wallace & Gromit: The Curse of the Were-Rabbit,"$56,110,897","$136,504,080","$192,614,977",tt0312004,https://www.boxofficemojo.com/release/rl3782837761/?ref_=bo_yld_table_46
Fun with Dick and Jane,"$110,332,737","$94,349,162","$204,681,899",tt0369441,https://www.boxofficemojo.com/release/rl1985316353/?ref_=bo_yld_table_47
Crash,"$54,580,300","$43,829,761","$98,410,061",tt0375679,https://www.boxofficemojo.com/release/rl1817019905/?ref_=bo_yld_table_48
Corpse Bride,"$53,359,111","$10,476,839","$63,835,950",tt0121164,https://www.boxofficemojo.com/release/rl458065409/?ref_=bo_yld_table_49
Kicking & Screaming,"$52,842,724","$3,227,709","$56,070,433",tt0384642,https://www.boxofficemojo.com/release/rl140281345/?ref_=bo_yld_table_50
Hide and Seek,"$51,100,486","$21,003,948","$72,104,434",tt0382077,https://www.boxofficemojo.com/release/rl1532593665/?ref_=bo_yld_table_51
The Hitchhiker's Guide to the Galaxy,"$51,085,416","$2,307,584","$53,393,000",tt0371724,https://www.boxofficemojo.com/release/rl2656667137/?ref_=bo_yld_table_52
Sideways,"$71,503,593","$38,203,338","$109,706,931",tt0375063,https://www.boxofficemojo.com/release/rl1785824769/?ref_=bo_yld_table_53
Diary of a Mad Black Woman,"$50,633,099","$19,104","$50,652,203",tt0422093,https://www.boxofficemojo.com/release/rl1214285313/?ref_=bo_yld_table_54
"Yours, Mine & Ours","$53,412,862","$19,250,061","$72,662,923",tt0443295,https://www.boxofficemojo.com/release/rl3933898241/?ref_=bo_yld_table_55
Racing Stripes,"$49,772,522","$40,981,953","$90,754,475",tt0376105,https://www.boxofficemojo.com/release/rl2372568577/?ref_=bo_yld_table_56
Miss Congeniality 2: Armed & Fabulous,"$48,478,006","$4,437,557","$52,915,563",tt0385307,https://www.boxofficemojo.com/release/rl3865216513/?ref_=bo_yld_table_57
Just Like Heaven,"$48,318,130","$6,218,171","$54,536,301",tt0425123,https://www.boxofficemojo.com/release/rl4217210369/?ref_=bo_yld_table_58
The Skeleton Key,"$47,907,715","$46,076,196","$93,983,911",tt0397101,https://www.boxofficemojo.com/release/rl4218521089/?ref_=bo_yld_table_59
Kingdom of Heaven,"$47,398,413","$170,724,214","$218,122,627",tt0320661,https://www.boxofficemojo.com/release/rl1448904193/?ref_=bo_yld_table_60
Boogeyman,"$46,752,382","$20,440,477","$67,192,859",tt0357507,https://www.boxofficemojo.com/release/rl1078363649/?ref_=bo_yld_table_61
Cheaper by the Dozen 2,"$82,571,173","$47,583,395","$130,154,568",tt0452598,https://www.boxofficemojo.com/release/rl256607745/?ref_=bo_yld_table_62
In Good Company,"$45,806,659","$15,508,556","$61,315,215",tt0385267,https://www.boxofficemojo.com/release/rl91588097/?ref_=bo_yld_table_63
The Legend of Zorro,"$46,464,023","$95,936,042","$142,400,065",tt0386140,https://www.boxofficemojo.com/release/rl696092161/?ref_=bo_yld_table_64
Must Love Dogs,"$43,894,863","$14,336,657","$58,231,520",tt0417001,https://www.boxofficemojo.com/release/rl627344897/?ref_=bo_yld_table_65
Transporter 2,"$43,095,856","$2,891,517","$45,987,373",tt0388482,https://www.boxofficemojo.com/release/rl2910291457/?ref_=bo_yld_table_66
Fever Pitch,"$42,071,069","$8,534,094","$50,605,163",tt0332047,https://www.boxofficemojo.com/release/rl1632863745/?ref_=bo_yld_table_67
The Family Stone,"$60,062,868","$32,821,561","$92,884,429",tt0356680,https://www.boxofficemojo.com/release/rl4082140673/?ref_=bo_yld_table_68
The Adventures of Sharkboy and Lavagirl 3-D,"$39,177,684","$32,814,971","$71,992,655",tt0424774,https://www.boxofficemojo.com/release/rl3916334593/?ref_=bo_yld_table_69
