Title,Domestic,International,Worldwide,ImdbID,URL
Spider-Man,"$403,706,375","$14,295,801","$418,002,176",tt0145487,https://www.boxofficemojo.com/release/rl678659585/?ref_=bo_yld_table_1
Star Wars: Episode II - Attack of the Clones,"$302,191,252","$40,873,948","$343,065,200",tt0121765,https://www.boxofficemojo.com/release/rl2809366017/?ref_=bo_yld_table_2
Harry Potter and the Chamber of Secrets,"$261,988,482","$616,991,152","$878,979,634",tt0295297,https://www.boxofficemojo.com/release/rl1433110017/?ref_=bo_yld_table_3
Signs,"$227,966,634","$180,281,283","$408,247,917",tt0286106,https://www.boxofficemojo.com/release/rl1685161473/?ref_=bo_yld_table_4
My Big Fat Greek Wedding,"$241,438,208","$127,305,836","$368,744,044",tt0259446,https://www.boxofficemojo.com/release/rl342132225/?ref_=bo_yld_table_5
The Lord of the Rings: The Two Towers,"$339,789,881","$583,225,353","$923,015,234",tt0167261,https://www.boxofficemojo.com/release/rl4032923137/?ref_=bo_yld_table_6
Austin Powers in Goldmember,"$213,307,889","$83,630,912","$296,938,801",tt0295178,https://www.boxofficemojo.com/release/rl944080385/?ref_=bo_yld_table_7
Men in Black II,"$190,418,803","$60,981,197","$251,400,000",tt0120912,https://www.boxofficemojo.com/release/rl1281525249/?ref_=bo_yld_table_8
Ice Age,"$176,387,405","$30,482,326","$206,869,731",tt0268380,https://www.boxofficemojo.com/release/rl3277358593/?ref_=bo_yld_table_9
A Beautiful Mind,"$170,742,341","$142,800,000","$313,542,341",tt0268978,https://www.boxofficemojo.com/release/rl21399041/?ref_=bo_yld_table_10
Scooby-Doo,"$153,294,164","$122,356,539","$275,650,703",tt0267913,https://www.boxofficemojo.com/release/rl3631187457/?ref_=bo_yld_table_11
The Lord of the Rings: The Fellowship of the Ring,"$313,364,114","$555,021,246","$868,385,360",tt0120737,https://www.boxofficemojo.com/release/rl4200695297/?ref_=bo_yld_table_12
Die Another Day,"$160,942,139","$271,028,977","$431,971,116",tt0246460,https://www.boxofficemojo.com/release/rl2974778881/?ref_=bo_yld_table_13
Lilo & Stitch,"$145,794,338","$127,349,813","$273,144,151",tt0275847,https://www.boxofficemojo.com/release/rl3898508801/?ref_=bo_yld_table_14
xXx,"$142,109,382","$135,339,000","$277,448,382",tt0295701,https://www.boxofficemojo.com/release/rl1450870273/?ref_=bo_yld_table_15
The Santa Clause 2,"$139,236,327","$33,618,738","$172,855,065",tt0304669,https://www.boxofficemojo.com/release/rl1097827841/?ref_=bo_yld_table_16
Minority Report,"$132,072,926","$226,300,000","$358,372,926",tt0181689,https://www.boxofficemojo.com/release/rl4200760833/?ref_=bo_yld_table_17
The Ring,"$129,128,133","$120,220,800","$249,348,933",tt0298130,https://www.boxofficemojo.com/release/rl476874241/?ref_=bo_yld_table_18
Mr. Deeds,"$126,293,452","$44,976,083","$171,269,535",tt0280590,https://www.boxofficemojo.com/release/rl2540013057/?ref_=bo_yld_table_19
Sweet Home Alabama,"$127,223,418","$53,399,006","$180,622,424",tt0256415,https://www.boxofficemojo.com/release/rl846562817/?ref_=bo_yld_table_20
The Bourne Identity,"$121,661,683","$92,372,541","$214,034,224",tt0258463,https://www.boxofficemojo.com/release/rl2286323201/?ref_=bo_yld_table_21
The Sum of All Fears,"$118,907,036","$75,014,336","$193,921,372",tt0164184,https://www.boxofficemojo.com/release/rl2675082753/?ref_=bo_yld_table_22
8 Mile,"$116,750,901","$9,373,276","$126,124,177",tt0298203,https://www.boxofficemojo.com/release/rl3326182913/?ref_=bo_yld_table_23
