Title,Domestic,International,Worldwide,ImdbID,URL
Who Framed Roger Rabbit,"$156,452,370","$81,639,668","$238,092,038",tt0096438,https://www.boxofficemojo.com/release/rl1987806721/?ref_=bo_yld_table_1
Coming to America,"$128,152,301",$32,"$128,152,333",tt0094898,https://www.boxofficemojo.com/release/rl3058337281/?ref_=bo_yld_table_2
"Good Morning, Vietnam","$123,922,370",$424,"$123,922,794",tt0093105,https://www.boxofficemojo.com/release/rl3713304065/?ref_=bo_yld_table_3
Big,"$114,968,774",$196,"$114,968,970",tt0094737,https://www.boxofficemojo.com/release/rl692553217/?ref_=bo_yld_table_4
Crocodile Dundee II,"$109,306,210",$0,"$109,306,210",tt0092493,https://www.boxofficemojo.com/release/rl3863905793/?ref_=bo_yld_table_5
Three Men and a Baby,"$167,780,960","$10,384,392","$178,165,352",tt0094137,https://www.boxofficemojo.com/release/rl3061089793/?ref_=bo_yld_table_6
Die Hard,"$83,008,852","$14,188","$83,023,040",tt0095016,https://www.boxofficemojo.com/release/rl2991556097/?ref_=bo_yld_table_7
Moonstruck,"$80,640,528","$2,519","$80,643,047",tt0093565,https://www.boxofficemojo.com/release/rl1550157313/?ref_=bo_yld_table_8
Cocktail,"$78,222,753",$0,"$78,222,753",tt0094889,https://www.boxofficemojo.com/release/rl1800046081/?ref_=bo_yld_table_9
Beetlejuice,"$73,707,461","$12,295","$73,719,756",tt0094721,https://www.boxofficemojo.com/release/rl1849984513/?ref_=bo_yld_table_10
A Fish Called Wanda,"$62,493,712",$0,"$62,493,712",tt0095159,https://www.boxofficemojo.com/release/rl3948119553/?ref_=bo_yld_table_11
Willow,"$57,269,863",$684,"$57,270,547",tt0096446,https://www.boxofficemojo.com/release/rl2910553601/?ref_=bo_yld_table_12
Rambo III,"$53,715,611","$13,034,238","$66,749,849",tt0095956,https://www.boxofficemojo.com/release/rl3714745857/?ref_=bo_yld_table_13
Scrooged,"$60,328,558",$0,"$60,328,558",tt0096061,https://www.boxofficemojo.com/release/rl3245311489/?ref_=bo_yld_table_14
Bull Durham,"$50,888,729",$0,"$50,888,729",tt0094812,https://www.boxofficemojo.com/release/rl2286519809/?ref_=bo_yld_table_15
Twins,"$111,938,388","$11,174,980","$123,113,368",tt0096320,https://www.boxofficemojo.com/release/rl2021033473/?ref_=bo_yld_table_16
A Nightmare on Elm Street 4: The Dream Master,"$49,369,899",$0,"$49,369,899",tt0095742,https://www.boxofficemojo.com/release/rl3176236545/?ref_=bo_yld_table_17
Colors,"$46,616,067",$0,"$46,616,067",tt0094894,https://www.boxofficemojo.com/release/rl2991228417/?ref_=bo_yld_table_18
Young Guns,"$45,661,556",$0,"$45,661,556",tt0096487,https://www.boxofficemojo.com/release/rl4252665345/?ref_=bo_yld_table_19
Biloxi Blues,"$43,184,798",$0,"$43,184,798",tt0094746,https://www.boxofficemojo.com/release/rl1397196289/?ref_=bo_yld_table_20
The Naked Gun: From the Files of Police Squad!,"$78,756,177",$0,"$78,756,177",tt0095705,https://www.boxofficemojo.com/release/rl2992932353/?ref_=bo_yld_table_21
The Great Outdoors,"$41,455,230",$0,"$41,455,230",tt0095253,https://www.boxofficemojo.com/release/rl2606204417/?ref_=bo_yld_table_22
Big Business,"$40,150,487",$0,"$40,150,487",tt0094739,https://www.boxofficemojo.com/release/rl642221569/?ref_=bo_yld_table_23
The Last Emperor,"$43,984,230","$1,110","$43,985,340",tt0093389,https://www.boxofficemojo.com/release/rl1130333697/?ref_=bo_yld_table_24
Bambi,"$39,047,150",$0,"$39,047,150",tt0034492,https://www.boxofficemojo.com/release/rl2789574145/?ref_=bo_yld_table_25
Midnight Run,"$38,413,606",$0,"$38,413,606",tt0095631,https://www.boxofficemojo.com/release/rl2875360769/?ref_=bo_yld_table_26
The Dead Pool,"$37,903,295",$0,"$37,903,295",tt0094963,https://www.boxofficemojo.com/release/rl2622260737/?ref_=bo_yld_table_27
Broadcast News,"$51,249,404",$57,"$51,249,461",tt0092699,https://www.boxofficemojo.com/release/rl1967752705/?ref_=bo_yld_table_28
The Land Before Time,"$48,478,716",$0,"$48,478,716",tt0095489,https://www.boxofficemojo.com/release/rl2069857793/?ref_=bo_yld_table_29
Oliver & Company,"$53,279,055",$0,"$53,279,055",tt0095776,https://www.boxofficemojo.com/release/rl1701217793/?ref_=bo_yld_table_30
Red Heat,"$34,994,648",$0,"$34,994,648",tt0095963,https://www.boxofficemojo.com/release/rl1651344897/?ref_=bo_yld_table_31
Child's Play,"$33,244,684","$154,212","$33,398,896",tt0094862,https://www.boxofficemojo.com/release/rl1431012865/?ref_=bo_yld_table_32
Rain Man,"$172,825,435","$10,145","$172,835,580",tt0095953,https://www.boxofficemojo.com/release/rl3999958529/?ref_=bo_yld_table_33
The Accused,"$32,078,318",$0,"$32,078,318",tt0094608,https://www.boxofficemojo.com/release/rl71337473/?ref_=bo_yld_table_34
Shoot to Kill,"$29,300,090",$0,"$29,300,090",tt0096098,https://www.boxofficemojo.com/release/rl762414593/?ref_=bo_yld_table_35
Ernest Saves Christmas,"$28,202,109",$0,"$28,202,109",tt0095107,https://www.boxofficemojo.com/release/rl3478029825/?ref_=bo_yld_table_36
Throw Momma from the Train,"$57,915,972",$0,"$57,915,972",tt0094142,https://www.boxofficemojo.com/release/rl560301569/?ref_=bo_yld_table_37
Fatal Attraction,"$156,645,693",$63,"$156,645,756",tt0093010,https://www.boxofficemojo.com/release/rl794002945/?ref_=bo_yld_table_38
Wall Street,"$43,848,069",$0,"$43,848,069",tt0094291,https://www.boxofficemojo.com/release/rl3380184577/?ref_=bo_yld_table_39
Betrayed,"$25,816,139",$0,"$25,816,139",tt0094731,https://www.boxofficemojo.com/release/rl4064577025/?ref_=bo_yld_table_40
Tequila Sunrise,"$41,292,551",$0,"$41,292,551",tt0096244,https://www.boxofficemojo.com/release/rl3530917377/?ref_=bo_yld_table_41
Funny Farm,"$25,537,221",$0,"$25,537,221",tt0095188,https://www.boxofficemojo.com/release/rl2119534081/?ref_=bo_yld_table_42
Alien Nation,"$25,216,243",$0,"$25,216,243",tt0094631,https://www.boxofficemojo.com/release/rl3275785729/?ref_=bo_yld_table_43
Gorillas in the Mist,"$24,720,479","$11,972,036","$366,92515",tt0095243,https://www.boxofficemojo.com/release/rl3344205313/?ref_=bo_yld_table_44
Eddie Murphy: Raw,"$50,504,655",$634,"$50,505,289",tt0092948,https://www.boxofficemojo.com/release/rl273778177/?ref_=bo_yld_table_45
The Fox and the Hound,"$23,556,988",$0,"$23,556,988",tt0082406,https://www.boxofficemojo.com/release/rl2454881793/?ref_=bo_yld_table_46
License to Drive,"$22,433,275",$0,"$22,433,275",tt0095519,https://www.boxofficemojo.com/release/rl3109979649/?ref_=bo_yld_table_47
Short Circuit 2,"$21,630,088",$0,"$21,630,088",tt0096101,https://www.boxofficemojo.com/release/rl628196865/?ref_=bo_yld_table_48
Married to the Mob,"$21,486,757",$0,"$21,486,757",tt0095593,https://www.boxofficemojo.com/release/rl1315145217/?ref_=bo_yld_table_49
