Title,Domestic,International,Worldwide,ImdbID,URL
Superman,"$134,218,018","$2,461","$134,220,479",tt0078346,https://www.boxofficemojo.com/release/rl4050814465/?ref_=bo_yld_table_1
The Amityville Horror,"$86,432,000",$0,"$86,432,000",tt0078767,https://www.boxofficemojo.com/release/rl2202240513/?ref_=bo_yld_table_2
Rocky II,"$85,182,160",$0,"$85,182,160",tt0079817,https://www.boxofficemojo.com/release/rl2993456641/?ref_=bo_yld_table_3
Star Trek: The Motion Picture,"$82,258,456",$156,"$82,258,612",tt0079945,https://www.boxofficemojo.com/release/rl2977138177/?ref_=bo_yld_table_4
Alien,"$78,944,891","$54,860","$78,999,751",tt0078748,https://www.boxofficemojo.com/release/rl3443557889/?ref_=bo_yld_table_5
Apocalypse Now,"$78,784,010","$193,699","$78,977,709",tt0078788,https://www.boxofficemojo.com/release/rl1816299009/?ref_=bo_yld_table_6
10,"$74,865,517",$0,"$74,865,517",tt0078721,https://www.boxofficemojo.com/release/rl960595457/?ref_=bo_yld_table_7
The Jerk,"$73,691,419",$0,"$73,691,419",tt0079367,https://www.boxofficemojo.com/release/rl878544385/?ref_=bo_yld_table_8
Moonraker,"$70,308,099",$434,"$70,308,533",tt0079574,https://www.boxofficemojo.com/release/rl1516602881/?ref_=bo_yld_table_9
Meatballs,"$43,046,003",$0,"$43,046,003",tt0079540,https://www.boxofficemojo.com/release/rl3479406081/?ref_=bo_yld_table_10
Escape from Alcatraz,"$43,000,000",$0,"$43,000,000",tt0079116,https://www.boxofficemojo.com/release/rl3461449217/?ref_=bo_yld_table_11
Manhattan,"$39,946,780","$8,626,649","$485,73429",tt0079522,https://www.boxofficemojo.com/release/rl1046709761/?ref_=bo_yld_table_12
All That Jazz,"$37,823,676","$1,482","$37,825,158",tt0078754,https://www.boxofficemojo.com/release/rl390301185/?ref_=bo_yld_table_13
1941,"$31,755,742",$0,"$31,755,742",tt0078723,https://www.boxofficemojo.com/release/rl2034337281/?ref_=bo_yld_table_14
The Champ,"$30,441,738",$0,"$30,441,738",tt0078950,https://www.boxofficemojo.com/release/rl3242755585/?ref_=bo_yld_table_15
The Rose,"$29,174,648",$0,"$29,174,648",tt0079826,https://www.boxofficemojo.com/release/rl4050421249/?ref_=bo_yld_table_16
The Warriors,"$22,490,039","$5,013","$22,495,052",tt0080120,https://www.boxofficemojo.com/release/rl410551809/?ref_=bo_yld_table_17
Norma Rae,"$22,228,000","$4,049,848","$262,77848",tt0079638,https://www.boxofficemojo.com/release/rl2422703617/?ref_=bo_yld_table_18
National Lampoon's Animal House,"$21,508,877",$0,"$21,508,877",tt0077975,https://www.boxofficemojo.com/release/rl977438209/?ref_=bo_yld_table_19
La Cage aux Folles,"$20,424,259",$0,"$20,424,259",tt0077288,https://www.boxofficemojo.com/release/rl3327952385/?ref_=bo_yld_table_20
Dracula,"$20,158,970",$0,"$20,158,970",tt0079073,https://www.boxofficemojo.com/release/rl1565427201/?ref_=bo_yld_table_21
Monty Python's Life of Brian,"$19,398,164","$26,174","$19,424,338",tt0079470,https://www.boxofficemojo.com/release/rl2908653057/?ref_=bo_yld_table_22
Buck Rogers in the 25th Century,"$21,671,241",$0,"$21,671,241",tt0077278,https://www.boxofficemojo.com/release/rl2890499585/?ref_=bo_yld_table_23
Breaking Away,"$16,424,918",$0,"$16,424,918",tt0078902,https://www.boxofficemojo.com/release/rl3477505537/?ref_=bo_yld_table_24
Roller Boogie,"$13,253,715",$0,"$13,253,715",tt0079822,https://www.boxofficemojo.com/release/rl2691466753/?ref_=bo_yld_table_25
The Great Train Robbery,"$13,027,857",$0,"$13,027,857",tt0079240,https://www.boxofficemojo.com/release/rl1482130945/?ref_=bo_yld_table_26
Kramer vs. Kramer,"$106,260,000",$0,"$106,260,000",tt0079417,https://www.boxofficemojo.com/release/rl3999041025/?ref_=bo_yld_table_27
Fiddler on the Roof,"$10,404,330",$0,"$10,404,330",tt0067093,https://www.boxofficemojo.com/release/rl1733527041/?ref_=bo_yld_table_28
The Frisco Kid,"$9,346,177",$0,"$9,346,177",tt0079180,https://www.boxofficemojo.com/release/rl743802369/?ref_=bo_yld_table_29
The Fish That Saved Pittsburgh,"$8,281,246",$0,"$8,281,246",tt0079154,https://www.boxofficemojo.com/release/rl3931342337/?ref_=bo_yld_table_30
The Prisoner of Zenda,"$7,650,600",$0,"$7,650,600",tt0079753,https://www.boxofficemojo.com/release/rl3714811393/?ref_=bo_yld_table_31
Star Wars: Episode IV - A New Hope,"$307,263,857",$0,"$307,263,857",tt0076759,https://www.boxofficemojo.com/release/rl2759034369/?ref_=bo_yld_table_32
Cuba,"$5,610,280",$0,"$5,610,280",tt0079013,https://www.boxofficemojo.com/release/rl2219673089/?ref_=bo_yld_table_33
Butch and Sundance: The Early Days,"$5,136,913",$0,"$5,136,913",tt0078919,https://www.boxofficemojo.com/release/rl3645474305/?ref_=bo_yld_table_34
The Great Santini,"$4,702,575",$0,"$4,702,575",tt0079239,https://www.boxofficemojo.com/release/rl1666680321/?ref_=bo_yld_table_35
Lost and Found,"$3,223,197",$0,"$3,223,197",tt0079486,https://www.boxofficemojo.com/release/rl2304869889/?ref_=bo_yld_table_36
Voices,"$2,631,244",$0,"$2,631,244",tt0080103,https://www.boxofficemojo.com/release/rl2658764289/?ref_=bo_yld_table_37
Rich Kids,"$1,856,122",$0,"$1,856,122",tt0079806,https://www.boxofficemojo.com/release/rl946636289/?ref_=bo_yld_table_38
Last Embrace,"$1,537,125",$0,"$1,537,125",tt0079437,https://www.boxofficemojo.com/release/rl1113556481/?ref_=bo_yld_table_39
The Passage,"$1,101,186",$0,"$1,101,186",tt0079700,https://www.boxofficemojo.com/release/rl3983115777/?ref_=bo_yld_table_40
