Title,Domestic,International,Worldwide,ImdbID,URL
Black Panther,"$700,059,566","$646,853,595","$1,346,913,161",tt1825683,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_yld_table_1
Avengers: Infinity War,"$678,815,482",$0,"$678,815,482",tt4154756,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_yld_table_2
Incredibles 2,"$608,581,744","$25,641,871","$634,223,615",tt3606756,https://www.boxofficemojo.com/release/rl2071758337/?ref_=bo_yld_table_3
Jurassic World: Fallen Kingdom,"$417,719,760","$890,748,184","$1,308,467,944",tt4881806,https://www.boxofficemojo.com/release/rl1602061825/?ref_=bo_yld_table_4
Deadpool 2,"$318,491,426","$97,563,759","$416,055,185",tt5463162,https://www.boxofficemojo.com/release/rl2488436225/?ref_=bo_yld_table_5
The Grinch,"$271,740,675","$240,975,007","$512,715,682",tt2709692,https://www.boxofficemojo.com/release/rl3075966465/?ref_=bo_yld_table_6
Jumanji: Welcome to the Jungle,"$404,515,480","$153,046,586","$557,562,066",tt2283362,https://www.boxofficemojo.com/release/rl3095234049/?ref_=bo_yld_table_7
Mission: Impossible - Fallout,"$220,159,104","$570,956,000","$791,115,104",tt4912910,https://www.boxofficemojo.com/release/rl2449573377/?ref_=bo_yld_table_8
Ant-Man and the Wasp,"$216,648,740","$406,025,399","$622,674,139",tt5095030,https://www.boxofficemojo.com/release/rl2088535553/?ref_=bo_yld_table_9
Solo: A Star Wars Story,"$213,767,512","$179,157,295","$392,924,807",tt3778644,https://www.boxofficemojo.com/release/rl1954383361/?ref_=bo_yld_table_10
Venom,"$213,515,506","$642,569,645","$856,085,151",tt1270797,https://www.boxofficemojo.com/release/rl2734720513/?ref_=bo_yld_table_11
A Star Is Born,"$215,288,866","$5,811,134","$221,100,000",tt1517451,https://www.boxofficemojo.com/release/rl2164360705/?ref_=bo_yld_table_12
Aquaman,"$335,061,807","$816,900,000","$1,151,961,807",tt1477834,https://www.boxofficemojo.com/release/rl3108800001/?ref_=bo_yld_table_13
Bohemian Rhapsody,"$216,428,042","$687,227,217","$903,655,259",tt1727824,https://www.boxofficemojo.com/release/rl3439363585/?ref_=bo_yld_table_14
A Quiet Place,"$188,024,361","$152,915,000","$340,939,361",tt6644200,https://www.boxofficemojo.com/release/rl2399176193/?ref_=bo_yld_table_15
Ralph Breaks the Internet,"$201,091,711","$328,232,251","$529,323,962",tt5848272,https://www.boxofficemojo.com/release/rl2742978049/?ref_=bo_yld_table_16
Crazy Rich Asians,"$174,532,921","$64,500,000","$239,032,921",tt3104988,https://www.boxofficemojo.com/release/rl1157858817/?ref_=bo_yld_table_17
Hotel Transylvania 3: Summer Vacation,"$167,510,016","$361,073,758","$528,583,774",tt5220122,https://www.boxofficemojo.com/release/rl3111945729/?ref_=bo_yld_table_18
Halloween,"$159,342,015","$96,143,163","$255,485,178",tt1502407,https://www.boxofficemojo.com/release/rl1342342657/?ref_=bo_yld_table_19
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$496,200,000","$655,755,901",tt4123430,https://www.boxofficemojo.com/release/rl1534625281/?ref_=bo_yld_table_20
The Meg,"$145,443,742","$383,800,000","$529,243,742",tt4779682,https://www.boxofficemojo.com/release/rl2105509377/?ref_=bo_yld_table_21
Ocean's Eight,"$140,218,711","$17,281,289","$157,500,000",tt5164214,https://www.boxofficemojo.com/release/rl2206107137/?ref_=bo_yld_table_22
Ready Player One,"$137,690,172","$445,800,000","$583,490,172",tt1677720,https://www.boxofficemojo.com/release/rl2977793537/?ref_=bo_yld_table_23
The Greatest Showman,"$174,340,174","$86,312,835","$260,653,009",tt1485796,https://www.boxofficemojo.com/release/rl1700234753/?ref_=bo_yld_table_24
Mamma Mia! Here We Go Again,"$120,634,935","$274,409,771","$395,044,706",tt6911608,https://www.boxofficemojo.com/release/rl1828947457/?ref_=bo_yld_table_25
The Nun,"$117,450,119","$248,600,000","$366,050,119",tt5814060,https://www.boxofficemojo.com/release/rl1493206529/?ref_=bo_yld_table_26
Peter Rabbit,"$115,253,424","$236,013,009","$351,266,433",tt5117670,https://www.boxofficemojo.com/release/rl3380381185/?ref_=bo_yld_table_27
Creed II,"$115,715,889","$98,500,000","$214,215,889",tt6343314,https://www.boxofficemojo.com/release/rl1594197505/?ref_=bo_yld_table_28
Spider-Man: Into the Spider-Verse,"$190,241,310","$185,341,327","$375,582,637",tt4633694,https://www.boxofficemojo.com/release/rl879986177/?ref_=bo_yld_table_29
Mary Poppins Returns,"$171,958,438","$5,620,618","$177,579,056",tt5028340,https://www.boxofficemojo.com/release/rl3263137281/?ref_=bo_yld_table_30
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$92,177,125","$712,358,507",tt2527336,https://www.boxofficemojo.com/release/rl2708702721/?ref_=bo_yld_table_31
The Equalizer 2,"$102,084,362","$88,315,795","$190,400,157",tt3766354,https://www.boxofficemojo.com/release/rl494765569/?ref_=bo_yld_table_32
Rampage,"$101,028,233","$327,100,000","$428,128,233",tt2231461,https://www.boxofficemojo.com/release/rl2122286593/?ref_=bo_yld_table_33
A Wrinkle in Time,"$100,478,608","$32,197,256","$132,675,864",tt1620680,https://www.boxofficemojo.com/release/rl3229582849/?ref_=bo_yld_table_34
Fifty Shades Freed,"$100,407,760","$271,577,258","$371,985,018",tt4477536,https://www.boxofficemojo.com/release/rl4014048769/?ref_=bo_yld_table_35
Christopher Robin,"$99,215,042","$98,529,335","$197,744,377",tt4575576,https://www.boxofficemojo.com/release/rl2105312769/?ref_=bo_yld_table_36
I Can Only Imagine,"$83,482,352","$2,604,529","$86,086,881",tt6450186,https://www.boxofficemojo.com/release/rl537036289/?ref_=bo_yld_table_37
Smallfoot,"$83,240,103","$134,700,000","$217,940,103",tt6182908,https://www.boxofficemojo.com/release/rl419661313/?ref_=bo_yld_table_38
The Post,"$81,903,458","$15,962,541","$97,865,999",tt6294822,https://www.boxofficemojo.com/release/rl3590358529/?ref_=bo_yld_table_39
Night School,"$77,339,130","$25,766,748","$103,105,878",tt6781982,https://www.boxofficemojo.com/release/rl3909125633/?ref_=bo_yld_table_40
Bumblebee,"$127,195,589","$340,794,056","$467,989,645",tt4701182,https://www.boxofficemojo.com/release/rl2139063809/?ref_=bo_yld_table_41
The First Purge,"$69,488,745","$67,567,517","$137,056,262",tt6133466,https://www.boxofficemojo.com/release/rl1526760961/?ref_=bo_yld_table_42
Game Night,"$69,179,066","$48,500,000","$117,679,066",tt2704998,https://www.boxofficemojo.com/release/rl1744864769/?ref_=bo_yld_table_43
Book Club,"$68,566,296","$35,871,892","$104,438,188",tt6857166,https://www.boxofficemojo.com/release/rl3053815297/?ref_=bo_yld_table_44
The House with a Clock in Its Walls,"$68,549,695","$62,907,452","$131,457,147",tt2119543,https://www.boxofficemojo.com/release/rl1157793281/?ref_=bo_yld_table_45
Skyscraper,"$68,420,120","$236,448,841","$304,868,961",tt5758778,https://www.boxofficemojo.com/release/rl2936047105/?ref_=bo_yld_table_46
Insidious: The Last Key,"$67,745,330","$32,394,928","$100,140,258",tt5726086,https://www.boxofficemojo.com/release/rl394167809/?ref_=bo_yld_table_47
Instant Family,"$67,363,237","$53,192,964","$120,556,201",tt7401588,https://www.boxofficemojo.com/release/rl235243009/?ref_=bo_yld_table_48
The Mule,"$103,804,407","$71,000,000","$174,804,407",tt7959026,https://www.boxofficemojo.com/release/rl4077356545/?ref_=bo_yld_table_49
Blockers,"$60,311,495","$33,705,799","$94,017,294",tt2531344,https://www.boxofficemojo.com/release/rl1048479233/?ref_=bo_yld_table_50
Pacific Rim: Uprising,"$59,874,525","$231,055,623","$290,930,148",tt2557478,https://www.boxofficemojo.com/release/rl1382647297/?ref_=bo_yld_table_51
Tomb Raider,"$58,250,803","$216,700,000","$274,950,803",tt1365519,https://www.boxofficemojo.com/release/rl1179420161/?ref_=bo_yld_table_52
Maze Runner: The Death Cure,"$58,032,443","$230,142,892","$288,175,335",tt4500922,https://www.boxofficemojo.com/release/rl3663955457/?ref_=bo_yld_table_53
