Title,Domestic,International,Worldwide,ImdbID,URL
How the Grinch Stole Christmas,"$261,231,700","$85,096,578","$346,328,278",tt0170016,https://www.boxofficemojo.com/release/rl3059189249/?ref_=bo_yld_table_1
Mission: Impossible II,"$215,409,889","$330,978,219","$546,388,108",tt0120755,https://www.boxofficemojo.com/release/rl1600292353/?ref_=bo_yld_table_2
Gladiator,"$187,705,427","$85,173,106","$272,878,533",tt0172495,https://www.boxofficemojo.com/release/rl2136245761/?ref_=bo_yld_table_3
The Perfect Storm,"$182,618,434","$146,100,000","$328,718,434",tt0177971,https://www.boxofficemojo.com/release/rl661161473/?ref_=bo_yld_table_4
Meet the Parents,"$166,244,045","$164,200,000","$330,444,045",tt0212338,https://www.boxofficemojo.com/release/rl677545473/?ref_=bo_yld_table_5
X-Men,"$157,299,718","$139,039,810","$296,339,528",tt0120903,https://www.boxofficemojo.com/release/rl1383761409/?ref_=bo_yld_table_6
Scary Movie,"$157,019,771","$121,000,000","$278,019,771",tt0175142,https://www.boxofficemojo.com/release/rl4033840641/?ref_=bo_yld_table_7
What Lies Beneath,"$155,464,351","$135,956,000","$291,420,351",tt0161081,https://www.boxofficemojo.com/release/rl4084762113/?ref_=bo_yld_table_8
Dinosaur,"$137,748,063","$212,074,702","$349,822,765",tt0130623,https://www.boxofficemojo.com/release/rl2605680129/?ref_=bo_yld_table_9
Erin Brockovich,"$125,595,205","$5,080,876","$130,676,081",tt0195685,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_yld_table_10
Nutty Professor II: The Klumps,"$123,309,890","$43,030,000","$166,339,890",tt0144528,https://www.boxofficemojo.com/release/rl2388428289/?ref_=bo_yld_table_11
Charlie's Angels,"$125,305,545","$13,494,455","$138,800,000",tt0160127,https://www.boxofficemojo.com/release/rl608929281/?ref_=bo_yld_table_12
Big Momma's House,"$117,559,438","$56,400,000","$173,959,438",tt0208003,https://www.boxofficemojo.com/release/rl38241793/?ref_=bo_yld_table_13
Remember the Titans,"$115,654,751","$21,051,932","$136,706,683",tt0210945,https://www.boxofficemojo.com/release/rl2892858881/?ref_=bo_yld_table_14
The Patriot,"$113,330,342","$101,964,000","$215,294,342",tt0187393,https://www.boxofficemojo.com/release/rl3244918273/?ref_=bo_yld_table_15
What Women Want,"$182,811,707","$8,488,293","$191,300,000",tt0207201,https://www.boxofficemojo.com/release/rl3849881089/?ref_=bo_yld_table_16
Chicken Run,"$106,834,564","$11,165,436","$118,000,000",tt0120630,https://www.boxofficemojo.com/release/rl1649116673/?ref_=bo_yld_table_17
Gone in 60 Seconds,"$101,648,571","$33,905,157","$135,553,728",tt0187078,https://www.boxofficemojo.com/release/rl2203354625/?ref_=bo_yld_table_18
Cast Away,"$233,632,142","$196,000,000","$429,632,142",tt0162222,https://www.boxofficemojo.com/release/rl2772993537/?ref_=bo_yld_table_19
"Me, Myself & Irene","$90,570,999","$58,700,000","$149,270,999",tt0183505,https://www.boxofficemojo.com/release/rl274892289/?ref_=bo_yld_table_20
Space Cowboys,"$90,464,773","$38,419,359","$128,884,132",tt0186566,https://www.boxofficemojo.com/release/rl3782247937/?ref_=bo_yld_table_21
Scream 3,"$89,143,175","$72,691,101","$161,834,276",tt0134084,https://www.boxofficemojo.com/release/rl3614410241/?ref_=bo_yld_table_22
