Title,Domestic,International,Worldwide,ImdbID,URL
Men in Black,"$250,690,539","$51,068,455","$301,758,994",tt0119654,https://www.boxofficemojo.com/release/rl1264748033/?ref_=bo_yld_table_1
The Lost World: Jurassic Park,"$229,086,679","$72,132,785","$301,219,464",tt0119567,https://www.boxofficemojo.com/release/rl2405271041/?ref_=bo_yld_table_2
Liar Liar,"$181,410,615",$0,"$181,410,615",tt0119528,https://www.boxofficemojo.com/release/rl1113490945/?ref_=bo_yld_table_3
Air Force One,"$172,956,409","$37,132,505","$210,088,914",tt0118571,https://www.boxofficemojo.com/release/rl2168489473/?ref_=bo_yld_table_4
Star Wars: Episode IV - A New Hope,"$138,257,865","$22,445,735","$160,703,600",tt0076759,https://www.boxofficemojo.com/release/rl3379725825/?ref_=bo_yld_table_5
My Best Friend's Wedding,"$127,120,029","$11,726","$127,131,755",tt0119738,https://www.boxofficemojo.com/release/rl291800577/?ref_=bo_yld_table_6
Titanic,"$600,683,057",$0,"$600,683,057",tt0120338,https://www.boxofficemojo.com/release/rl3698624001/?ref_=bo_yld_table_7
Face/Off,"$112,276,146","$1,176","$112,277,322",tt0119094,https://www.boxofficemojo.com/release/rl2723186177/?ref_=bo_yld_table_8
Batman & Robin,"$107,325,195","$23,574,805","$130,900,000",tt0118688,https://www.boxofficemojo.com/release/rl3561326081/?ref_=bo_yld_table_9
George of the Jungle,"$105,263,257","$16,540,791","$121,804,048",tt0119190,https://www.boxofficemojo.com/release/rl2387969537/?ref_=bo_yld_table_10
Con Air,"$101,117,573","$26,258","$101,143,831",tt0118880,https://www.boxofficemojo.com/release/rl2253030913/?ref_=bo_yld_table_11
Hercules,"$99,112,101",$0,"$99,112,101",tt0119282,https://www.boxofficemojo.com/release/rl240748033/?ref_=bo_yld_table_12
Contact,"$100,920,329","$20,584,908","$121,505,237",tt0118884,https://www.boxofficemojo.com/release/rl3578430977/?ref_=bo_yld_table_13
Jerry Maguire,"$153,952,592",$35,"$153,952,627",tt0116695,https://www.boxofficemojo.com/release/rl912098817/?ref_=bo_yld_table_14
Flubber,"$92,977,226",$0,"$92,977,226",tt0119137,https://www.boxofficemojo.com/release/rl659719681/?ref_=bo_yld_table_15
Conspiracy Theory,"$75,982,834",$0,"$75,982,834",tt0118883,https://www.boxofficemojo.com/release/rl3746203137/?ref_=bo_yld_table_16
Scream 2,"$101,363,301",$639,"$101,363,940",tt0120082,https://www.boxofficemojo.com/release/rl3597633025/?ref_=bo_yld_table_17
Scream,"$103,046,663","$39,818","$103,086,481",tt0117571,https://www.boxofficemojo.com/release/rl3580855809/?ref_=bo_yld_table_18
