Title,Domestic,International,Worldwide,ImdbID,URL
The Dark Knight,"$533,345,358","$470,500,000","$1,003,845,358",tt0468569,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_yld_table_1
Iron Man,"$318,604,126","$266,762,121","$585,366,247",tt0371746,https://www.boxofficemojo.com/release/rl1482327553/?ref_=bo_yld_table_2
Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119","$152,433,795","$469,534,914",tt0367882,https://www.boxofficemojo.com/release/rl2321253889/?ref_=bo_yld_table_3
Hancock,"$227,946,274","$401,497,154","$629,443,428",tt0448157,https://www.boxofficemojo.com/release/rl746030593/?ref_=bo_yld_table_4
WALL·E,"$223,808,164","$73,695,532","$297,503,696",tt0910970,https://www.boxofficemojo.com/release/rl3615065601/?ref_=bo_yld_table_5
Kung Fu Panda,"$215,727,546","$416,309,969","$632,037,515",tt0441773,https://www.boxofficemojo.com/release/rl3562833409/?ref_=bo_yld_table_6
Madagascar: Escape 2 Africa,"$180,010,950","$423,889,404","$603,900,354",tt0479952,https://www.boxofficemojo.com/release/rl1382057473/?ref_=bo_yld_table_7
Twilight,"$192,769,854","$21,648,007","$214,417,861",tt1099212,https://www.boxofficemojo.com/release/rl58099201/?ref_=bo_yld_table_8
Quantum of Solace,"$168,368,427","$421,212,055","$589,580,482",tt0830515,https://www.boxofficemojo.com/release/rl3445261825/?ref_=bo_yld_table_9
Horton Hears a Who!,"$154,529,439","$144,043,360","$298,572,799",tt0451079,https://www.boxofficemojo.com/release/rl509117953/?ref_=bo_yld_table_10
Sex and the City,"$152,647,258","$266,118,063","$418,765,321",tt1000774,https://www.boxofficemojo.com/release/rl3211691521/?ref_=bo_yld_table_11
Mamma Mia!,"$144,290,968","$465,711,574","$610,002,542",tt0795421,https://www.boxofficemojo.com/release/rl3697313281/?ref_=bo_yld_table_12
The Chronicles of Narnia: Prince Caspian,"$141,621,490","$278,044,078","$419,665,568",tt0499448,https://www.boxofficemojo.com/release/rl2640610817/?ref_=bo_yld_table_13
The Incredible Hulk,"$134,806,913","$129,964,083","$264,770,996",tt0800080,https://www.boxofficemojo.com/release/rl2791015937/?ref_=bo_yld_table_14
Wanted,"$134,508,551","$207,954,512","$342,463,063",tt0493464,https://www.boxofficemojo.com/release/rl3329852929/?ref_=bo_yld_table_15
Get Smart,"$130,319,208","$100,366,245","$230,685,453",tt0425061,https://www.boxofficemojo.com/release/rl3914696193/?ref_=bo_yld_table_16
Juno,"$143,495,265","$88,877,416","$232,372,681",tt0467406,https://www.boxofficemojo.com/release/rl2539488769/?ref_=bo_yld_table_17
Four Christmases,"$120,146,040","$43,966,681","$164,112,721",tt0369436,https://www.boxofficemojo.com/release/rl2689762817/?ref_=bo_yld_table_18
Tropic Thunder,"$110,515,313","$85,187,498","$195,702,811",tt0942385,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_yld_table_19
Bolt,"$114,053,579","$195,926,415","$309,979,994",tt0397892,https://www.boxofficemojo.com/release/rl1531348481/?ref_=bo_yld_table_20
The Mummy: Tomb of the Dragon Emperor,"$102,491,776","$300,958,054","$403,449,830",tt0859163,https://www.boxofficemojo.com/release/rl3596977665/?ref_=bo_yld_table_21
Journey to the Center of the Earth,"$101,704,370","$40,823,948","$142,528,318",tt0373051,https://www.boxofficemojo.com/release/rl1314752001/?ref_=bo_yld_table_22
Eagle Eye,"$101,440,743","$77,326,640","$178,767,383",tt1059786,https://www.boxofficemojo.com/release/rl3427698177/?ref_=bo_yld_table_23
Step Brothers,"$100,468,793","$27,638,849","$128,107,642",tt0838283,https://www.boxofficemojo.com/release/rl3983771137/?ref_=bo_yld_table_24
You Don't Mess with the Zohan,"$100,018,837","$4,275,726","$104,294,563",tt0960144,https://www.boxofficemojo.com/release/rl2457503233/?ref_=bo_yld_table_25
"10,000 BC","$94,784,201","$175,000,000","$269,784,201",tt0443649,https://www.boxofficemojo.com/release/rl977372673/?ref_=bo_yld_table_26
Beverly Hills Chihuahua,"$94,514,402","$54,778,086","$149,292,488",tt1014775,https://www.boxofficemojo.com/release/rl4084237825/?ref_=bo_yld_table_27
The Bucket List,"$93,466,502","$81,906,000","$175,372,502",tt0825232,https://www.boxofficemojo.com/release/rl2873722369/?ref_=bo_yld_table_28
High School Musical 3: Senior Year,"$90,559,416","$162,349,761","$252,909,177",tt0962726,https://www.boxofficemojo.com/release/rl2807596545/?ref_=bo_yld_table_29
Pineapple Express,"$87,341,380","$14,283,463","$101,624,843",tt0910936,https://www.boxofficemojo.com/release/rl2489878017/?ref_=bo_yld_table_30
National Treasure: Book of Secrets,"$219,964,115","$19,314,019","$239,278,134",tt0465234,https://www.boxofficemojo.com/release/rl2338620929/?ref_=bo_yld_table_31
21,"$81,159,365","$78,649,005","$159,808,370",tt0478087,https://www.boxofficemojo.com/release/rl1514243585/?ref_=bo_yld_table_32
What Happens in Vegas,"$80,277,646","$139,097,916","$219,375,562",tt1033643,https://www.boxofficemojo.com/release/rl4252534273/?ref_=bo_yld_table_33
