Title,Domestic,International,Worldwide,ImdbID,URL
Avengers: Endgame,"$858,373,000",$0,"$858,373,000",tt4154796,https://www.boxofficemojo.com/release/rl3059975681/?ref_=bo_yld_table_1
The Lion King,"$543,638,043",$0,"$543,638,043",tt6105098,https://www.boxofficemojo.com/release/rl3321923073/?ref_=bo_yld_table_2
Toy Story 4,"$434,038,008","$205,318,577","$639,356,585",tt1979376,https://www.boxofficemojo.com/release/rl3798500865/?ref_=bo_yld_table_3
Frozen II,"$477,373,578","$972,653,355","$1,450,026,933",tt4520988,https://www.boxofficemojo.com/release/rl2424210945/?ref_=bo_yld_table_4
Captain Marvel,"$426,829,839","$701,444,955","$1,128,274,794",tt4154664,https://www.boxofficemojo.com/release/rl3009644033/?ref_=bo_yld_table_5
Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","$43,739,164","$558,941,706",tt2527338,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_yld_table_6
Spider-Man: Far from Home,"$390,532,085","$741,395,911","$1,131,927,996",tt6320628,https://www.boxofficemojo.com/release/rl3791750657/?ref_=bo_yld_table_7
Aladdin,"$355,559,216","$695,134,737","$1,050,693,953",tt6139732,https://www.boxofficemojo.com/release/rl3246360065/?ref_=bo_yld_table_8
Joker,"$335,451,311","$743,300,000","$1,078,751,311",tt7286456,https://www.boxofficemojo.com/release/rl252151297/?ref_=bo_yld_table_9
It: Chapter Two,"$211,593,228","$49,906,772","$261,500,000",tt7349950,https://www.boxofficemojo.com/release/rl1107461633/?ref_=bo_yld_table_10
Jumanji: The Next Level,"$320,314,960","$481,378,969","$801,693,929",tt7975244,https://www.boxofficemojo.com/release/rl755467777/?ref_=bo_yld_table_11
Us,"$175,084,580","$80,938,127","$256,022,707",tt6857112,https://www.boxofficemojo.com/release/rl1711506945/?ref_=bo_yld_table_12
Fast & Furious Presents: Hobbs & Shaw,"$173,956,935","$586,775,991","$760,732,926",tt6806448,https://www.boxofficemojo.com/release/rl2919400961/?ref_=bo_yld_table_13
John Wick: Chapter 3 - Parabellum,"$171,015,687","$156,761,648","$327,777,335",tt6146586,https://www.boxofficemojo.com/release/rl1476560385/?ref_=bo_yld_table_14
How to Train Your Dragon: The Hidden World,"$160,799,505","$361,000,000","$521,799,505",tt2386490,https://www.boxofficemojo.com/release/rl2606269953/?ref_=bo_yld_table_15
The Secret Life of Pets 2,"$158,980,250","$272,184,209","$431,164,459",tt5113040,https://www.boxofficemojo.com/release/rl1719436801/?ref_=bo_yld_table_16
Pokémon: Detective Pikachu,"$144,105,346","$289,200,000","$433,305,346",tt5884052,https://www.boxofficemojo.com/release/rl17139201/?ref_=bo_yld_table_17
Once Upon a Time... in Hollywood,"$142,502,728","$234,924,175","$377,426,903",tt7131622,https://www.boxofficemojo.com/release/rl520455681/?ref_=bo_yld_table_18
Shazam!,"$140,371,656","$225,600,000","$365,971,656",tt0448115,https://www.boxofficemojo.com/release/rl1196197377/?ref_=bo_yld_table_19
Aquaman,"$335,061,807","$816,900,000","$1,151,961,807",tt1477834,https://www.boxofficemojo.com/release/rl3108800001/?ref_=bo_yld_table_20
Knives Out,"$165,363,234","$147,534,686","$312,897,920",tt8946378,https://www.boxofficemojo.com/release/rl3204875777/?ref_=bo_yld_table_21
Dumbo,"$114,766,307","$238,518,314","$353,284,621",tt3861390,https://www.boxofficemojo.com/release/rl2675869185/?ref_=bo_yld_table_22
Maleficent: Mistress of Evil,"$113,929,605","$377,800,484","$491,730,089",tt4777008,https://www.boxofficemojo.com/release/rl939755009/?ref_=bo_yld_table_23
Glass,"$111,048,468","$24,902,103","$135,950,571",tt6823368,https://www.boxofficemojo.com/release/rl1518241281/?ref_=bo_yld_table_24
Godzilla: King of the Monsters,"$110,500,138","$276,800,000","$387,300,138",tt3741700,https://www.boxofficemojo.com/release/rl2991883777/?ref_=bo_yld_table_25
The Upside,"$108,252,517","$17,600,000","$125,852,517",tt1987680,https://www.boxofficemojo.com/release/rl3204679169/?ref_=bo_yld_table_26
Ford v Ferrari,"$117,624,357","$107,883,853","$225,508,210",tt1950186,https://www.boxofficemojo.com/release/rl990348801/?ref_=bo_yld_table_27
The Lego Movie 2: The Second Part,"$105,806,508","$86,500,000","$192,306,508",tt3513498,https://www.boxofficemojo.com/release/rl1517848065/?ref_=bo_yld_table_28
Hustlers,"$104,963,598","$52,600,000","$157,563,598",tt5503686,https://www.boxofficemojo.com/release/rl3255404033/?ref_=bo_yld_table_29
The Addams Family,"$100,044,905","$2,955,095","$103,000,000",tt1620981,https://www.boxofficemojo.com/release/rl101025281/?ref_=bo_yld_table_30
Downton Abbey,"$96,853,865","$986,995","$97,840,860",tt6398184,https://www.boxofficemojo.com/release/rl2399634945/?ref_=bo_yld_table_31
Rocketman,"$96,368,160","$2,584,080","$98,952,240",tt2066051,https://www.boxofficemojo.com/release/rl4261709313/?ref_=bo_yld_table_32
Alita: Battle Angel,"$85,838,210","$319,142,333","$404,980,543",tt0437086,https://www.boxofficemojo.com/release/rl1887340033/?ref_=bo_yld_table_33
Good Boys,"$83,140,306","$28,033,292","$111,173,598",tt6977338,https://www.boxofficemojo.com/release/rl1275299329/?ref_=bo_yld_table_34
Spider-Man: Into the Spider-Verse,"$190,241,310","$185,341,327","$375,582,637",tt4633694,https://www.boxofficemojo.com/release/rl879986177/?ref_=bo_yld_table_35
Men in Black: International,"$80,001,807","$173,888,894","$253,890,701",tt2283336,https://www.boxofficemojo.com/release/rl2986509825/?ref_=bo_yld_table_36
Annabelle Comes Home,"$74,152,591","$157,100,000","$231,252,591",tt8350360,https://www.boxofficemojo.com/release/rl939820545/?ref_=bo_yld_table_37
Yesterday,"$73,286,650","$8,035,556","$81,322,206",tt8079248,https://www.boxofficemojo.com/release/rl1392805377/?ref_=bo_yld_table_38
A Madea Family Funeral,"$73,257,045","$1,490,680","$74,747,725",tt7054636,https://www.boxofficemojo.com/release/rl2885912065/?ref_=bo_yld_table_39
Zombieland: Double Tap,"$73,123,082","$49,687,317","$122,810,399",tt1560220,https://www.boxofficemojo.com/release/rl201819649/?ref_=bo_yld_table_40
Angel Has Fallen,"$69,030,436","$8,601,105","$77,631,541",tt6189022,https://www.boxofficemojo.com/release/rl1745257985/?ref_=bo_yld_table_41
Scary Stories to Tell in the Dark,"$68,947,075","$35,598,430","$104,545,505",tt3387520,https://www.boxofficemojo.com/release/rl2852554241/?ref_=bo_yld_table_42
Mary Poppins Returns,"$171,958,438","$5,620,618","$177,579,056",tt5028340,https://www.boxofficemojo.com/release/rl3263137281/?ref_=bo_yld_table_43
X-Men: Dark Phoenix,"$65,845,974","$186,597,000","$252,442,974",tt6565702,https://www.boxofficemojo.com/release/rl4211181057/?ref_=bo_yld_table_44
Terminator: Dark Fate,"$62,253,077","$198,866,215","$261,119,292",tt6450804,https://www.boxofficemojo.com/release/rl3103950337/?ref_=bo_yld_table_45
Abominable,"$60,716,390","$127,907,127","$188,623,517",tt6324278,https://www.boxofficemojo.com/release/rl4144072193/?ref_=bo_yld_table_46
Dora and the Lost City of Gold,"$60,477,943","$60,119,165","$120,597,108",tt7547410,https://www.boxofficemojo.com/release/rl3993339393/?ref_=bo_yld_table_47
Escape Room,"$57,005,601","$98,706,476","$155,712,077",tt5886046,https://www.boxofficemojo.com/release/rl2852423169/?ref_=bo_yld_table_48
A Beautiful Day in the Neighborhood,"$61,704,055","$6,221,678","$67,925,733",tt3224458,https://www.boxofficemojo.com/release/rl2651096577/?ref_=bo_yld_table_49
Midway,"$56,846,802","$13,696,785","$70,543,587",tt6924650,https://www.boxofficemojo.com/release/rl2634515969/?ref_=bo_yld_table_50
Bumblebee,"$127,195,589","$340,794,056","$467,989,645",tt4701182,https://www.boxofficemojo.com/release/rl2139063809/?ref_=bo_yld_table_51
The Curse of La Llorona,"$54,733,739","$13,766,261","$68,500,000",tt4913966,https://www.boxofficemojo.com/release/rl402884097/?ref_=bo_yld_table_52
Pet Sematary,"$54,724,696","$3,668,834","$58,393,530",tt0837563,https://www.boxofficemojo.com/release/rl0361985/?ref_=bo_yld_table_53
